,#hurricanealex,hurricane alex,#hurricanecolin,#hurricaneearl,hurricane earl,#hurricanegaston,hurricane gaston,#hurricanehermine,hurricane hermine,#hurricanematthew,hurricane matthew,#hurricanenicole,hurricane nicole,#hurricaneotto,hurricane otto
2016-01-14,6.323716085383658e-07,3.3582895327254954e-06,,,,,,,,,,,,,
2016-01-15,8.805637493963052e-07,4.618437358300494e-06,,,,,,,,,,,,,
2016-01-16,1.8183126643743994e-07,1.2527698971591415e-06,,,,,,,,,,,,,
2016-01-17,2.6316963625792926e-08,1.3302063258125976e-06,,,,,,,,,,,,,
2016-01-18,2.5495073795950013e-08,,,,,,,,,,,,,,
2016-01-19,,,,,,,,,,,,,,,
2016-01-20,,,,,,,,,,,,,,,
2016-01-21,,,,,,,,,,,,,,,
2016-01-22,,,,,,,,,,,,,,,
2016-01-23,,,,,,,,,,,,,,,
2016-01-24,,,,,,,,,,,,,,,
2016-01-25,,,,,,,,,,,,,,,
2016-01-26,,,,,,,,,,,,,,,
2016-01-27,,,,,,,,,,,,,,,
2016-01-28,,,,,,,,,,,,,,,
2016-01-29,,,,,,,,,,,,,,,
2016-01-30,,,,,,,,,,,,,,,
2016-01-31,,,,,,,,,,,,,,,
2016-02-01,,,,,,,,,,,,,,,
2016-02-02,,,,,,,,,,,,,,,
2016-02-03,,,,,,,,,,,,,,,
2016-02-04,,,,,,,,,,,,,,,
2016-02-05,,,,,,,,,,,,,,,
2016-02-06,,,,,,,,,,,,,,,
2016-02-07,,,,,,,,,,,,,,,
2016-02-08,,,,,,,,,,,,,,,
2016-02-09,,,,,,,,,,,,,,,
2016-02-10,,,,,,,,,,,,,,,
2016-02-11,,,,,,,,,,,,,,,
2016-02-12,,,,,,,,,,,,,,,
2016-02-13,,,,,,,,,,,,,,,
2016-02-14,,,,,,,,,,,,,,,
2016-02-15,,,,,,,,,,,,,,,
2016-02-16,,,,,,,,,,,,,,,
2016-02-17,,,,,,,,,,,,,,,
2016-02-18,,,,,,,,,,,,,,,
2016-02-19,,,,,,,,,,,,,,,
2016-02-20,,,,,,,,,,,,,,,
2016-02-21,,,,,,,,,,,,,,,
2016-02-22,,,,,,,,,,,,,,,
2016-02-23,,,,,,,,,,,,,,,
2016-02-24,,,,,,,,,,,,,,,
2016-02-25,,,,,,,,,,,,,,,
2016-02-26,,,,,,,,,,,,,,,
2016-02-27,,,,,,,,,,,,,,,
2016-02-28,,,,,,,,,,,,,,,
2016-02-29,,,,,,,,,,,,,,,
2016-03-01,,,,,,,,,,,,,,,
2016-03-02,,,,,,,,,,,,,,,
2016-03-03,,,,,,,,,,,,,,,
2016-03-04,,,,,,,,,,,,,,,
2016-03-05,,,,,,,,,,,,,,,
2016-03-06,,,,,,,,,,,,,,,
2016-03-07,,,,,,,,,,,,,,,
2016-03-08,,,,,,,,,,,,,,,
2016-03-09,,,,,,,,,,,,,,,
2016-03-10,,,,,,,,,,,,,,,
2016-03-11,,,,,,,,,,,,,,,
2016-03-12,,,,,,,,,,,,,,,
2016-03-13,,,,,,,,,,,,,,,
2016-03-14,,,,,,,,,,,,,,,
2016-03-15,,,,,,,,,,,,,,,
2016-03-16,,,,,,,,,,,,,,,
2016-03-17,,,,,,,,,,,,,,,
2016-03-18,,,,,,,,,,,,,,,
2016-03-19,,,,,,,,,,,,,,,
2016-03-20,,,,,,,,,,,,,,,
2016-03-21,,,,,,,,,,,,,,,
2016-03-22,,,,,,,,,,,,,,,
2016-03-23,,,,,,,,,,,,,,,
2016-03-24,,,,,,,,,,,,,,,
2016-03-25,,,,,,,,,,,,,,,
2016-03-26,,,,,,,,,,,,,,,
2016-03-27,,,,,,,,,,,,,,,
2016-03-28,,,,,,,,,,,,,,,
2016-03-29,,,,,,,,,,,,,,,
2016-03-30,,,,,,,,,,,,,,,
2016-03-31,,,,,,,,,,,,,,,
2016-04-01,,,,,,,,,,,,,,,
2016-04-02,,,,,,,,,,,,,,,
2016-04-03,,,,,,,,,,,,,,,
2016-04-04,,,,,,,,,,,,,,,
2016-04-05,,,,,,,,,,,,,,,
2016-04-06,,,,,,,,,,,,,,,
2016-04-07,,,,,,,,,,,,,,,
2016-04-08,,,,,,,,,,,,,,,
2016-04-09,,,,,,,,,,,,,,,
2016-04-10,,,,,,,,,,,,,,,
2016-04-11,,,,,,,,,,,,,,,
2016-04-12,,,,,,,,,,,,,,,
2016-04-13,,,,,,,,,,,,,,,
2016-04-14,,,,,,,,,,,,,,,
2016-04-15,,,,,,,,,,,,,,,
2016-04-16,,,,,,,,,,,,,,,
2016-04-17,,,,,,,,,,,,,,,
2016-04-18,,,,,,,,,,,,,,,
2016-04-19,,,,,,,,,,,,,,,
2016-04-20,,,,,,,,,,,,,,,
2016-04-21,,,,,,,,,,,,,,,
2016-04-22,,,,,,,,,,,,,,,
2016-04-23,,,,,,,,,,,,,,,
2016-04-24,,,,,,,,,,,,,,,
2016-04-25,,,,,,,,,,,,,,,
2016-04-26,,,,,,,,,,,,,,,
2016-04-27,,,,,,,,,,,,,,,
2016-04-28,,,,,,,,,,,,,,,
2016-04-29,,,,,,,,,,,,,,,
2016-04-30,,,,,,,,,,,,,,,
2016-05-01,,,,,,,,,,,,,,,
2016-05-02,,,,,,,,,,,,,,,
2016-05-03,,,,,,,,,,,,,,,
2016-05-04,,,,,,,,,,,,,,,
2016-05-05,,,,,,,,,,,,,,,
2016-05-06,,,,,,,,,,,,,,,
2016-05-07,,,,,,,,,,,,,,,
2016-05-08,,,,,,,,,,,,,,,
2016-05-09,,,,,,,,,,,,,,,
2016-05-10,,,,,,,,,,,,,,,
2016-05-11,,,,,,,,,,,,,,,
2016-05-12,,,,,,,,,,,,,,,
2016-05-13,,,,,,,,,,,,,,,
2016-05-14,,,,,,,,,,,,,,,
2016-05-15,,,,,,,,,,,,,,,
2016-05-16,,,,,,,,,,,,,,,
2016-05-17,,,,,,,,,,,,,,,
2016-05-18,,,,,,,,,,,,,,,
2016-05-19,,,,,,,,,,,,,,,
2016-05-20,,,,,,,,,,,,,,,
2016-05-21,,,,,,,,,,,,,,,
2016-05-22,,,,,,,,,,,,,,,
2016-05-23,,,,,,,,,,,,,,,
2016-05-24,,,,,,,,,,,,,,,
2016-05-25,,,,,,,,,,,,,,,
2016-05-26,,,,,,,,,,,,,,,
2016-05-27,,,,,,,,,,,,,,,
2016-05-28,,,,,,,,,,,,,,,
2016-05-29,,,,,,,,,,,,,,,
2016-05-30,,,,,,,,,,,,,,,
2016-05-31,,,,,,,,,,,,,,,
2016-06-01,,,,,,,,,,,,,,,
2016-06-02,,,,,,,,,,,,,,,
2016-06-03,,,,,,,,,,,,,,,
2016-06-04,,,,,,,,,,,,,,,
2016-06-05,,,,,,,,,,,,,,,
2016-06-06,,,2.0440790416952726e-08,,,,,,,,,,,,
2016-06-07,,,1.9631624926183864e-08,,,,,,,,,,,,
2016-06-08,,,,,,,,,,,,,,,
2016-06-09,,,,,,,,,,,,,,,
2016-06-10,,,,,,,,,,,,,,,
2016-06-11,,,,,,,,,,,,,,,
2016-06-12,,,,,,,,,,,,,,,
2016-06-13,,,,,,,,,,,,,,,
2016-06-14,,,,,,,,,,,,,,,
2016-06-15,,,,,,,,,,,,,,,
2016-06-16,,,,,,,,,,,,,,,
2016-06-17,,,,,,,,,,,,,,,
2016-06-18,,1.6268416559288338e-07,,,,,,,,,,,,,
2016-06-19,,,,,,,,,,,,,,,
2016-06-20,,,,,,,,,,,,,,,
2016-06-21,,,,,,,,,,,,,,,
2016-06-22,,,,,,,,,,,,,,,
2016-06-23,,,,,,,,,,,,,,,
2016-06-24,,,,,,,,,,,,,,,
2016-06-25,,,,,,,,,,,,,,,
2016-06-26,,,,,,,,,,,,,,,
2016-06-27,,,,,,,,,,,,,,,
2016-06-28,,,,,,,,,,,,,,,
2016-06-29,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,
2016-07-01,,,,,,,,,,,,,,,
2016-07-02,,,,,,,,,,,,,,,
2016-07-03,,,,,,,,,,,,,,,
2016-07-04,,,,,,,,,,,,,,,
2016-07-05,,,,,,,,,,,,,,,
2016-07-06,,,,,,,,,,,,,,,
2016-07-07,,,,,,,,,,,,,,,
2016-07-08,,,,,,,,,,,,,,,
2016-07-09,,,,,,,,,,,,,,,
2016-07-10,,,,,,,,,,,,,,,
2016-07-11,,,,,,,,,,,,,,,
2016-07-12,,,,,,,,,,,,,,,
2016-07-13,,,,,,,,,,,,,,,
2016-07-14,,,,,,,,,,,,,,,
2016-07-15,,,,,,,,,,,,,,,
2016-07-16,,,,,,,,,,,,,,,
2016-07-17,,,,,,,,,,,,,,,
2016-07-18,,,,,,,,,,,,,,,
2016-07-19,,,,,,,,,,,,,,,
2016-07-20,,,,,,,,,,,,,,,
2016-07-21,,,,,,,,,,,,,,,
2016-07-22,,,,,,,,,,,,,,,
2016-07-23,,,,,,,,,,,,,,,
2016-07-24,,,,,,,,,,,,,,,
2016-07-25,,,,,,,,,,,,,,,
2016-07-26,,,,,,,,,,,,,,,
2016-07-27,,,,,,,,,,,,,,,
2016-07-28,,,,,,,,,,,,,,,
2016-07-29,,,,,,,,,,,,,,,
2016-07-30,,,,,,,,,,,,,,,
2016-07-31,,,,,,,,,,,,,,,
2016-08-01,,,,,,,,,,,,,,,
2016-08-02,,,,,,,,,,,,,,,
2016-08-03,,,,5.190584048486405e-07,1.9531044988812857e-06,,,,,,,,,,
2016-08-04,,,,4.883165484353962e-07,4.774217123603259e-06,,,,,,,,,,
2016-08-05,,,,8.865949189902316e-08,3.5255461465506407e-07,,,,,,,,,,
2016-08-06,,,,4.637219561176319e-08,,,,,,,,,,,
2016-08-07,,,,,3.6413633421946604e-07,,,,,,,,,,
2016-08-08,,,,4.152283179359839e-08,7.013905340099733e-07,,,,,,,,,,
2016-08-09,,,,,5.115906592605037e-07,,,,,,,,,,
2016-08-10,,,,,3.164537986538372e-07,,,,,,,,,,
2016-08-11,,,,,,,,,,,,,,,
2016-08-12,,,,,,,,,,,,,,,
2016-08-13,,,,,,,,,,,,,,,
2016-08-14,,,,,,,,,,,,,,,
2016-08-15,,,,,,,,,,,,,,,
2016-08-16,,,,,,,,,,,,,,,
2016-08-17,,,,,,,,,,,,,,,
2016-08-18,,,,,,,,,,,,,,,
2016-08-19,,,,,,,,,,,,,,,
2016-08-20,,,,,,,,,,,,,,,
2016-08-21,,,,,,,,,,,,,,,
2016-08-22,,,,,,,,,,,,,,,
2016-08-23,,,,,,,,,,,,,,,
2016-08-24,,,,,,,,,,,,,,,
2016-08-25,,,,,,5.9224143051416505e-08,4.84558253333631e-07,,,,,,,,
2016-08-26,,,,,,,,,,,,,,,
2016-08-27,,,,,,,,,,,,,,,
2016-08-28,,,,,,1.401445639688919e-07,2.2338331390303604e-06,,,,,,,,
2016-08-29,,,,,,4.7169532456852145e-08,7.18768866629865e-07,,,,,,,,
2016-08-30,,,,,,1.0175297017991039e-07,6.536531473172558e-07,,,,,,,,
2016-08-31,,,,,,3.095687243832203e-08,4.473291937121575e-07,,,,,,,,
2016-09-01,,,,,,2.1021675612642182e-08,4.221257469149249e-07,1.9607967927691994e-05,1.5213411918813895e-05,,,,,,
2016-09-02,,,,,,,,1.604463582423366e-05,2.0121231778616698e-05,,,,,,
2016-09-03,,,,,,,,3.1424366732035756e-06,3.2738243014886625e-06,,,,,,
2016-09-04,,,,,,,,9.148958668912808e-07,1.6544460173263404e-06,,,,,,
2016-09-05,,,,,,,,1.3565632361258216e-06,9.104914938448828e-07,,,,,,
2016-09-06,,,,,,,,2.425305813795997e-07,9.94265073407353e-07,,,,,,
2016-09-07,,,,,,,,1.3497891177737833e-07,7.508057605711018e-07,,,,,,
2016-09-08,,,,,,,,9.092197289952399e-08,8.33823234915351e-07,,,,,,
2016-09-09,,,,,,,,6.533857696467016e-08,5.189671592566884e-07,,,,,,
2016-09-10,,,,,,,,5.394107287326748e-08,6.18874251079736e-07,,,,,,
2016-09-11,,,,,,,,,1.3094730466579652e-07,,,,,,
2016-09-12,,,,,,,,,5.262342633675174e-07,,,,,,
2016-09-13,,,,,,,,2.659723554078792e-08,1.2519545571453178e-07,,,,,,
2016-09-14,,,,,,,,,1.2127928578559297e-07,,,,,,
2016-09-15,,,,,,,,,3.3823635210978663e-07,,,,,,
2016-09-16,,,,,,,,,3.6547039819821144e-07,,,,,,
2016-09-17,,,,,,,,,1.0757827841671049e-07,,,,,,
2016-09-18,,,,,,,,,,,,,,,
2016-09-19,,,,,,,,,9.216099221261504e-08,,,,,,
2016-09-20,,,,,,,,,,,,,,,
2016-09-21,,,,,,,,,,,,,,,
2016-09-22,,,,,,,,9.283896931683533e-08,,,,,,,
2016-09-23,,,,,,,,,,,,,,,
2016-09-24,,,,,,,,,,,,,,,
2016-09-25,,,,,,,,,,,,,,,
2016-09-26,,,,,,,,,,,,,,,
2016-09-27,,,,,,,,2.0400452414713064e-08,,,,,,,
2016-09-28,,,,,,,,,9.581316045948903e-08,5.800038882406115e-08,9.017709219716615e-08,,,,
2016-09-29,,,,,,,,,,6.384589319417869e-07,2.6051919705344443e-06,,,,
2016-09-30,,,,,,,,,,7.649105098005625e-06,1.5376955398077505e-05,,,,
2016-10-01,,,,,,,,2.3418393289679535e-08,,1.1533558695167171e-05,2.333592228244591e-05,,,,
2016-10-02,,,,,,,,,,1.4472790445146757e-05,2.1445058585601955e-05,,,,
2016-10-03,,,,,,,,,,2.090432247313971e-05,4.560264447066774e-05,,,,
2016-10-04,,,,,,,,,9.57859742864787e-08,4.939202092894872e-05,8.821888231784689e-05,,,,
2016-10-05,,,,,,,,,1.0075675995434667e-07,8.54084993480022e-05,0.00011852353529296313,,,,
2016-10-06,,,,,,,,,9.149556186480993e-08,0.0002604017190932035,0.0002967315440728117,5.67032647011639e-07,1.5897353874010728e-06,,
2016-10-07,,,,,,,,,,0.00024623951928541684,0.00024304831332247026,1.3924177274150417e-06,1.2075992717044632e-06,,
2016-10-08,,,,,,,,,,0.00011420065655623195,0.00012968531127231472,2.411784092843269e-07,1.6031030487063756e-07,,
2016-10-09,,,,,,,,,,3.480975404591876e-05,5.3334865198934925e-05,4.060761975544639e-08,8.673119284315013e-08,,
2016-10-10,,,,,,,,,,1.9656259023053423e-05,4.431402726433176e-05,4.442650206114535e-08,,,
2016-10-11,,,,,,,,,,1.482057814521879e-05,2.9050431867212535e-05,2.613587432248127e-07,1.2754382184022086e-06,,
2016-10-12,,,,,,,,,,1.1822598390731894e-05,2.5618985611847638e-05,1.581860562992549e-06,6.211499744251851e-06,,
2016-10-13,,,,,,,,,,8.324162074443827e-06,1.6778251756210298e-05,5.34683182752023e-06,1.253831989647967e-05,,
2016-10-14,,,,,,,,,,7.165953762760137e-06,1.2664210300369983e-05,1.2422433093656862e-06,2.879282945692535e-06,,
2016-10-15,,,,,,,,,,5.068161916716477e-06,1.146002715447895e-05,2.0134581961983734e-07,7.139436895378937e-07,,
2016-10-16,,,,,,,,,,3.232221459335768e-06,6.935798559764506e-06,1.1792516103712585e-07,6.02364639185503e-07,,
2016-10-17,,,,,,,,,,3.913605467221714e-06,7.332394550182775e-06,8.823778904876544e-08,1.3255993173174608e-06,,
2016-10-18,,,,,,,,,,3.5211907619615663e-06,6.189225730465359e-06,8.815941524793319e-08,9.58581961835727e-07,,
2016-10-19,,,,,,,,,,3.155622783752243e-06,6.122277341241363e-06,4.527435844694752e-08,2.0294842015164742e-07,,
2016-10-20,,,,,,,,,,2.5250035458192223e-06,3.233783128214613e-06,2.5149437707362772e-08,3.7602129397844337e-07,,
2016-10-21,,,,,,,,,,2.7890702407593987e-06,3.2365484928523646e-06,2.343756504839831e-08,,,
2016-10-22,,,,,,,,,,1.9331959057149155e-06,2.6072802511763053e-06,,,,
2016-10-23,,,,,,,,,,1.510351965956971e-06,1.5246111400729036e-06,,,,
2016-10-24,,,,,,,,,,1.8226738465105063e-06,3.0469060201441767e-06,,,,
2016-10-25,,,,,,,,,,1.9109956940489524e-06,2.5146527111420736e-06,,3.404115023816781e-07,,
2016-10-26,,,,,,,,,,1.5202409175432998e-06,1.881701846596073e-06,,,,
2016-10-27,,,,,,,,,,1.5135090119508415e-06,2.242981162166414e-06,,,,
2016-10-28,,,,,,,,,,1.4190031124382618e-06,1.3918971994994535e-06,,,,
2016-10-29,,,,,,,,,,1.322313270772941e-06,1.1121910348752214e-06,,,,
2016-10-30,,,,,,,,,,9.906494884991746e-07,9.126693976435024e-07,,,,
2016-10-31,,,,,,,,,,9.840613945908906e-07,9.093134879908042e-07,,,,
2016-11-01,,,,,,,,,,1.140868692685825e-06,1.405398772814245e-06,,,,
2016-11-02,,,,,,,,,,1.0476894985862355e-06,8.970229738378283e-07,,,,
2016-11-03,,,,,,,,,,9.793739732637403e-07,2.8560154864501988e-06,,,,
2016-11-04,,,,,,,,,,1.4474310174609986e-06,1.3807791909988103e-06,,,,
2016-11-05,,,,,,,,,,1.3066234461727876e-06,8.26799648216004e-07,,,,
2016-11-06,,,,,,,,,,9.661182196872769e-07,6.038227589026195e-07,,,,
2016-11-07,,,,,,,,,,8.596797126867397e-07,1.6201132404271743e-06,,,,
2016-11-08,,,,,,,,,,6.358430240766039e-07,4.089544781015926e-05,,,,
2016-11-09,,,,,,,,,,3.887452300888278e-07,4.6037331562354585e-05,,,,
2016-11-10,,,,,,,,,,1.2611182627684408e-06,2.068378112505751e-06,,,,
2016-11-11,,,,,,,,,,8.961820135893069e-07,8.809015455276237e-07,,,,
2016-11-12,,,,,,,,,,3.308871389588042e-07,6.091580508077148e-07,,,,
2016-11-13,,,,,,,,,,4.0440354117308835e-07,5.12815184692659e-07,,,,
2016-11-14,,,,,,,,,,6.385975897930957e-07,5.504266873278498e-07,,,,
2016-11-15,,,,,,,,,,6.296089611064806e-07,8.238029428470232e-07,,,,
2016-11-16,,,,,,,,,,5.883819953554046e-07,5.849042147738539e-07,,,,
2016-11-17,,,,,,,,,,6.450141821192862e-07,4.4465997607551466e-07,,,,
2016-11-18,,,,,,,,,,4.854323714039621e-07,8.065863630051836e-07,,,,
2016-11-19,,,,,,,,,,6.258561451291974e-07,4.567982981656301e-07,,,,
2016-11-20,,,,,,,,,,3.5397993803530617e-07,2.1625345155376104e-07,,,,
2016-11-21,,,,,,,,,,5.468025817046603e-07,3.3055782840078706e-07,,,,
2016-11-22,,,,,,,,,,5.695286239391106e-07,4.6444636533563416e-07,,,2.5887664724505024e-07,1.4873341937533998e-06
2016-11-23,,,,,,,,,,3.253000433413513e-07,3.533489957303103e-07,,,2.548183672840585e-07,2.1085087614070977e-06
2016-11-24,,,,,,,,,,3.478123991344043e-07,3.24869185663348e-07,,,6.348956492135951e-07,5.469615744077459e-06
2016-11-25,,,,,,,,,,4.821411790983614e-07,2.6407255204744253e-07,,,2.2931104859556215e-07,1.9868315820712344e-06
2016-11-26,,,,,,,,,,2.568367571813372e-07,3.405378740757018e-07,,,3.350044658887007e-08,7.109474914913774e-07
2016-11-27,,,,,,,,,,1.8028842871587217e-07,5.785536722001223e-07,,,2.1210403378337902e-08,1.3045818098630208e-07
2016-11-28,,,,,,,,,,3.492598340072787e-07,2.9403543521680387e-07,,,3.17508940006617e-08,1.1309055200646304e-07
2016-11-29,,,,,,,,,,4.130095260747923e-07,5.43396982318567e-07,,,,
2016-11-30,,,,,,,,,,6.251550840450681e-07,5.233600768105519e-07,,,,
2016-12-01,,,,,,,,,,3.422237914674806e-07,3.712855058008663e-07,,,2.1059925628768036e-08,
2016-12-02,,,,,,,,,,3.561586535509387e-07,5.526978601862331e-07,,,,
2016-12-03,,,,,,,,,,1.8240646339062379e-07,1.9516000504049503e-07,,,,
2016-12-04,,,,,,,,,,2.014846694795376e-07,2.1562682436961937e-07,,,,
2016-12-05,,,,,,,,,,3.6908553469006856e-07,2.9167663157001827e-07,,,,
2016-12-06,,,,,,,,,,2.403306037941745e-07,3.126559441310627e-07,,,,
2016-12-07,,,,,,,,,,2.9048531684474125e-07,3.6857053674157794e-07,,,,
2016-12-08,,,,,,,,,,2.2086062465127029e-07,3.146593002826742e-07,,,,
2016-12-09,,,,,,,,,,5.476334078363292e-07,3.522123025305876e-07,,,,
2016-12-10,,,,,,,,,,4.126449653505197e-07,2.7132163242966383e-07,,,,
2016-12-11,,,,,,,,,,3.104871814621964e-07,3.05479284978185e-07,,,,
2016-12-12,,,,,,,,,,3.176193916011341e-07,1.98612260259225e-07,,,,
2016-12-13,,,,,,,,,,4.1621091571395987e-07,3.792049943756054e-07,,,,
2016-12-14,,,,,,,,,,4.649828508959403e-07,3.630189257624195e-07,,,,
2016-12-15,,,,,,,,,,3.294842394661433e-07,4.0408326398960377e-07,,,,
2016-12-16,,,,,,,,,,2.2230875325789508e-07,3.3253797714338897e-07,,,,
2016-12-17,,,,,,,,,,1.8451613701252587e-07,1.5350675098202837e-07,,,,
2016-12-18,,,,,,,,,,1.1748292902877796e-07,1.5368497699521015e-07,,,,
2016-12-19,,,,,,,,,,1.9379785338354215e-07,2.1364005657836092e-07,,,,
2016-12-20,,,,,,,,,,2.9186808499074274e-07,2.713129184832197e-07,,,,
2016-12-21,,,,,,,,,,5.279515337013793e-07,3.9159518068988147e-07,,,,
2016-12-22,,,,,,,,,,3.72013231979214e-07,2.486750663514812e-07,,,,
2016-12-23,,,,,,,,,,2.2748893515834448e-07,2.512621170959671e-07,,,,
2016-12-24,,,,,,,,,,2.9912451861984693e-07,1.1219944843232005e-07,,,2.243433889648852e-08,
2016-12-25,,,,,,,,,,3.245955481763847e-07,1.0827334577507505e-07,,,,
2016-12-26,,,,,,,,,,1.5931844358838515e-07,1.9480871622573892e-07,,,,
2016-12-27,,,,,,,,,,2.0997185595166094e-07,8.362627630829419e-07,,,,
2016-12-28,,,,,,,,,,3.594042863684749e-07,1.0271316268996456e-06,,,,
2016-12-29,,,,,,,,,,2.5381746114888037e-07,4.167395885450318e-07,,,,
2016-12-30,,,,,,,,,,3.365234397520226e-07,3.787665444753169e-07,,,,
2016-12-31,,,,,,,,,,4.051760223920529e-07,,,,,
2017-01-01,,,,,,,,,,3.904684263924033e-07,1.0790945554985614e-07,,,,
2017-01-02,,,,,,,,,,1.5248327057243903e-07,1.3704040417052322e-07,,,,
2017-01-03,,,,,,,,,,2.587115161731248e-07,1.8655125979609612e-07,,,,
2017-01-04,,,,,,,,,,4.876265709098115e-07,4.5752422609840703e-07,,,,
2017-01-05,,,,,,,,,,2.866523925241285e-07,3.865941590298519e-07,,,,
2017-01-06,,,,,,,,,,1.5023997571289894e-07,2.409340308105821e-07,,,,
2017-01-07,,,,,,,,,,2.61350435408892e-07,1.9966450772096662e-07,,,,
2017-01-08,,,,,,,,,,1.0639069959456454e-07,1.0752579490056767e-07,,,,
2017-01-09,,,,,,,,,,1.6194671612951236e-07,1.7307387383859086e-07,,,,
2017-01-10,,,,,,,,,,1.3899103417207437e-07,1.4845827330225108e-07,,,,
2017-01-11,,,,,,,,,,1.8598407864696334e-07,1.4427184942606765e-07,,,,
2017-01-12,,,,,,,,,,3.1976281459508415e-07,1.303049147414943e-07,,,,
