,#hurricanebarry,hurricane barry,#hurricanedorian,hurricane dorian,hurricane erin,#hurricanehumberto,hurricane humberto,#hurricanejerry,hurricane jerry,#hurricaneimelda,#hurricanekaren,hurricane karen,#hurricanelorenzo,hurricane lorenzo,#hurricanepablo,hurricane pablo
2019-09-26,,,1.575868680866723e-07,8.536733367756428e-07,0.0,,,,,,,,1.838513461011177e-07,7.976947573149449e-07,,
2019-09-27,,,1.484179189541016e-07,8.343183324335642e-07,0.0,,,,,,,,1.7540299512757466e-07,1.0357055161244245e-06,,
2019-09-28,,,1.6444440976162348e-07,7.190288738507462e-07,0.0,,,,,,,,2.391918687441796e-07,1.2463167146746267e-06,,
2019-09-29,,,1.454248512863657e-07,5.599785826858076e-07,0.0,,,,,,,,1.0761438995191063e-06,4.1065096063625884e-06,,
2019-09-30,,,1.7567563531775945e-07,7.207288967732146e-07,0.0,,,,,,,,6.081079684076288e-07,2.7243552298027507e-06,,
2019-10-01,,,2.034336535654806e-07,6.796762485110391e-07,0.0,,,,,,,,5.831764735543777e-07,2.34271387784656e-06,,
2019-10-02,,,2.250788384350758e-07,7.644980305931126e-07,0.0,,,,,,,,6.189668056964584e-07,2.2785039343167276e-06,,
2019-10-03,,,1.636088981644227e-07,9.012802584313568e-07,0.0,,,,,,,,4.90826694493268e-07,1.1629422689436863e-06,,
2019-10-04,,,1.657206777975722e-07,9.278054136974623e-07,0.0,,,,,,,,9.66703953819171e-08,4.270850317020065e-07,,
2019-10-05,,,1.5204760610547163e-07,7.153586477406397e-07,0.0,,,,,,,,4.5614281831641486e-08,,,
2019-10-06,,,4.372777217131055e-08,1.013667528809094e-06,0.0,,,,,,,,2.915184811420703e-08,,,
2019-10-07,,,1.508979353115641e-07,2.0765971884043982e-06,0.0,,,,,,,,0.0,,,
2019-10-08,,,1.7635442572962235e-07,1.2720090449094068e-06,0.0,,,,,,,,,,,
2019-10-09,,,1.8630222473866253e-07,7.233225147450358e-07,0.0,,,,,,,,,,,
2019-10-10,,,1.4527323101545975e-07,7.883149094519676e-07,0.0,,,,,,,,,,,
2019-10-11,,,2.7401232701995687e-08,4.969746957732858e-07,0.0,,,,,,,,,,,
2019-10-12,,,6.042099019761576e-08,4.5224509080281917e-07,0.0,,,,,,,,,,,
2019-10-13,,,4.361481062434689e-08,2.7983529702829994e-07,0.0,,,,,,,,,,,
2019-10-14,,,8.170907606032336e-08,2.611891547530071e-07,0.0,,,,,,,,,,,
2019-10-15,,,5.265104805794174e-08,3.0847861320578995e-07,0.0,,,,,,,,,,,
2019-10-16,,,9.246337991140872e-08,3.376626563223337e-07,0.0,,,,,,,,,,,
2019-10-17,,,8.01693733005095e-08,2.84758291111391e-07,0.0,,,,,,,,,,,
2019-10-18,,,2.7885279791625575e-08,2.675395908802412e-07,0.0,,,,,,,,,,,
2019-10-19,,,1.4939081190634613e-08,2.5541162968327555e-07,0.0,,,,,,,,,,,
2019-10-20,,,5.84000807322716e-08,2.0301652890303377e-07,0.0,,,,,,,,,,,
2019-10-21,,,6.860023659398399e-08,3.072419562592794e-07,0.0,,,,,,,,,,,
2019-10-22,,,1.195848826053145e-07,1.6996934333774778e-07,0.0,,,,,,,,,,,
2019-10-23,,,5.209880287891733e-08,1.944293410652142e-07,0.0,,,,,,,,,,,
2019-10-24,,,7.995451334432833e-08,2.272929318063529e-07,0.0,,,,,,,,,,,
2019-10-25,,,5.5423440698560374e-08,2.5125705753362436e-07,0.0,,,,,,,,,,,
2019-10-26,,,3.073214132986519e-08,2.6309572971623183e-07,0.0,,,,,,,,,,,
2019-10-27,,,4.4253575168894135e-08,1.7373691133235647e-07,0.0,,,,,,,,,,2.9502383445929427e-08,2.053254406655122e-07
2019-10-28,,,4.228391551989399e-08,2.405238742268792e-07,0.0,,,,,,,,,,0.0,1.202619371134396e-07
2019-10-29,,,6.623550619750398e-08,2.9674126793954635e-07,0.0,,,,,,,,,,,
2019-10-30,,,3.95740878370624e-08,1.5477701310897982e-07,0.0,,,,,,,,,,,
2019-10-31,,,5.324860557210981e-08,1.9885480935682897e-07,0.0,,,,,,,,,,,
2019-11-01,,,5.515843930740416e-08,1.4700963583478656e-07,0.0,,,,,,,,,,,
2019-11-02,,,3.000160913630603e-08,1.6030191133739757e-07,0.0,,,,,,,,,,,
2019-11-03,,,0.0,1.2266446287692662e-07,0.0,,,,,,,,,,,
2019-11-04,,,0.0,2.0321416883503442e-07,0.0,,,,,,,,,,,
2019-11-05,,,1.338832364130271e-08,1.7120955771648968e-07,0.0,,,,,,,,,,,
2019-11-06,,,1.363267060786265e-08,8.714880104383348e-08,0.0,,,,,,,,,,,
2019-11-07,,,6.775492366560913e-08,3.8982257571975074e-07,0.0,,,,,,,,,,,
2019-11-08,,,5.666309316147719e-08,4.379997463830434e-07,0.0,,,,,,,,,,,
2019-11-09,,,2.975871677080308e-08,2.2259890904274677e-07,0.0,,,,,,,,,,,
2019-11-10,,,0.0,1.7086620592024687e-07,0.0,,,,,,,,,,,
2019-11-11,,,1.359655058774761e-08,3.04305298318961e-07,0.0,,,,,,,,,,,
2019-11-12,,,4.0405955401441856e-08,3.4432796435172587e-07,0.0,,,,,,,,,,,
2019-11-13,,,5.199555697965609e-08,1.4392439961279355e-06,0.0,,,,,,,,,,,
2019-11-14,,,6.488804722458638e-08,1.4780468872940348e-06,0.0,,,,,,,,,,,
2019-11-15,,,1.3063271616429112e-08,5.83983647790452e-07,0.0,,,,,,,,,,,
2019-11-16,,,4.512778677433635e-08,2.7293771354265396e-07,0.0,,,,,,,,,,,
2019-11-17,,,1.4628555378956385e-08,1.249922680564182e-07,0.0,,,,,,,,,,,
2019-11-18,,,0.0,3.3943647494335287e-07,0.0,,,,,,,,,,,
