Arlene,April 19, April 21,Tropical storm,50 (85),990,None,None,None,
Bret,June 19,June 20,Tropical storm,50 (85),1007,"Guyana, Venezuela, Trinidad and Tobago, Windward Islands",2960000,1 (1),
Cindy,June 20,June 23,Tropical storm,60 (95),991,"Honduras, Belize, Cayman Islands, Yucatán Peninsula, Cuba, Southern United States, Eastern United States",25000000,1 (1),
Four,July 5,July 7,Tropical depression,30 (45),1009,None,None,None,
Don,July 17,July 18,Tropical storm,50 (85),1005,"Windward Islands, Barbados, Trinidad and Tobago",None,None,
Emily,July 30,August 1,Tropical storm,60 (95),1001,Florida,10000000,None,
Franklin,August 7,August 10,Category 1 hurricane,85 (140),981,"Nicaragua, Honduras, Guatemala, Cayman Islands, Belize, Yucatán Peninsula, Central Mexico",15000000,None,
Gert,August 12,August 17,Category 2 hurricane,110 (175),962,"Bermuda, East Coast of the United States, Atlantic Canada",None,0 (2),
Harvey,August 17,September 1,Category 4 hurricane,130 (215),937,"Barbados, Suriname, Guyana, Windward Islands, Jamaica, Cayman Islands, Nicaragua, Belize, Yucatán Peninsula, Northeastern Mexico, Southern United States (Texas, Louisiana), Eastern United States",125000000000,68 (39),
Irma,August 30,September 12,Category 5 hurricane,180 (285),914,"Cape Verde, Leeward Islands (Barbuda, Saint Martin, Saint Barthelemy, U.S. Virgin Islands), Puerto Rico, Hispaniola, Turks and Caicos Islands, The Bahamas, Cuba, Southeastern United States (Florida and Georgia), Northeastern United States",77160000000,52 (82),
Jose,September 5,September 22,Category 4 hurricane,155 (250),938,"Leeward Islands, East Coast of the United States",2840000,0 (1),
Katia,September 5,September 9,Category 2 hurricane,105 (165),972,Eastern Mexico,3260000,3 (0),
Lee,September 15,September 30,Category 3 hurricane,115 (185),962,None,None,None,
Maria,September 16,September 30,Category 5 hurricane,175 (280),908,"Lesser Antilles (British Virgin Islands, Dominica, Guadeloupe, Martinique, Saint Croix), Puerto Rico, Hispaniola, Turks and Caicos Islands, The Bahamas, Southeastern United States, Mid-Atlantic States, United Kingdom, Ireland, France, Spain",91606000000,3057,
Nate,October 4,October 9,Category 1 hurricane,90 (150),981,"Nicaragua, Honduras, Costa Rica, El Salvador, Panama, Mexico, Cayman Islands, Cuba, Southeastern United States (Louisiana, Alabama, Mississippi, and Florida Panhandle), Northeastern United States, Atlantic Canada",787000000,46 (2),
Ophelia,October 9,October 16,Category 3 hurricane,115 (185),959,"Azores, Portugal, Spain, France, Ireland, United Kingdom, Norway, Sweden, Finland, Estonia, Russia",87700000,2 (3),
Philippe,October 28,October 29,Tropical storm,40 (65),1000,"Central America, Cayman Islands, Yucatán Peninsula, Cuba, Florida",Minimal,None,
Rina,November 5,November 9,Tropical storm,60 (95),991,None,None,None,
