Alex,January 12,January 15,Category 1 hurricane,85 (140),981,"Bermuda, Azores",Minimal,(1),
Bonnie,May 27,June 4,Tropical storm,45 (75),1006,"The Bahamas, Southeastern United States",640000,2,
Colin,June 5,June 7,Tropical storm,50 (85),1001,"Yucatán Peninsula, Cuba, Florida, East Coast of the United States",1040000,6,
Danielle,June 19,June 21,Tropical storm,45 (75),1007,"Yucatán Peninsula, Eastern Mexico",Minimal,1,
Earl,August 2,August 6,Category 1 hurricane,85 (140),979,"Lesser Antilles, Puerto Rico, Hispaniola, Jamaica, Cayman Islands, Central America, Mexico",250000000,106,
Fiona,August 16,August 23,Tropical storm,50 (85),1004,None,None,None,
Gaston,August 22, September 2,Category 3 hurricane,120 (195),955,Azores,None,None,
Eight,August 28, September 1,Tropical depression,35 (55),1010,North Carolina,None,None,
Hermine,August 28, September 3,Category 1 hurricane,80 (130),981,"Dominican Republic, Cuba, Florida, The Bahamas, East Coast of the United States, Atlantic Canada",550000000,4 (1),
Ian,September 12,September 16,Tropical storm,60 (95),994,None,None,None,
Julia,September 14,September 19,Tropical storm,50 (85),1007,Southeastern United States,6130000,None,
Karl,September 14,September 25,Tropical storm,70 (110),988,"Cape Verde, Bermuda",Minimal,None,
Lisa,September 19,September 25,Tropical storm,50 (85),999,None,None,None,
Matthew,September 28,October 9,Category 5 hurricane,165 (270),934,"Antilles, Venezuela, Colombia, East Coast of the United States, Atlantic Canada",16470000000,586 (17),
Nicole,October 4,October 18,Category 4 hurricane,140 (220),950,Bermuda,15000000,1,
Otto,November 20,November 25,Category 3 hurricane,115 (185),975,"Panama, Costa Rica, Nicaragua, Colombia",192200000,23,
