Ana,May 8,May 11,Tropical storm,60 (95),998,Southeastern United States (South Carolina),Minimal,1 (1),
Bill,June 16,July 18,Tropical storm,60 (95),997,"Central America, Yucatán Peninsula, Southern United States (Texas), Midwestern United States",17900000,8 (1),
Claudette,July 13,July 14,Tropical storm,50 (85),1003,"East Coast of the United States, Newfoundland",None,None,
Danny,August 18,August 24,Category 3 hurricane,125 (205),960,"Lesser Antilles, Puerto Rico",Minor,None,
Erika,August 25,August 29,Tropical storm,50 (85),1001,"Lesser Antilles (Dominica), Greater Antilles, Florida",511400000,31 (4),
Fred,August 30, September 6,Category 1 hurricane,85 (140),986,"West Africa, Cape Verde",2500000,9,
Grace,September 5,September 9,Tropical storm,60 (95),1000,None,None,None,
Henri,September 8,September 11,Tropical storm,50 (85),1003,None,None,None,
Nine,September 16,September 19,Tropical depression,35 (55),1006,None,None,None,
Ida,September 18,September 27,Tropical storm,50 (85),1001,None,None,None,
Joaquin,September 28, October 8,Category 4 hurricane,155 (250),931,"Turks and Caicos Islands, The Bahamas, Cuba, Haiti, Southeastern United States, Bermuda, Azores, Iberian Peninsula",200000000,34,
Kate,November 8,November 11,Category 1 hurricane,85 (140),980,"The Bahamas, United Kingdom, Ireland",Minimal,None,
