Arthur,July 1,July 5,Category 2 hurricane,100 (155),973,"The Bahamas, East Coast of the United States (North Carolina), Atlantic Canada (Nova Scotia)",16800000,0 (1),
Two,July 21,July 23,Tropical depression,35 (55),1012,None,None,None,
Bertha,August 1,August 6,Category 1 hurricane,80 (130),998,"Lesser Antilles, Puerto Rico, Hispaniola, Cuba, Lucayan Archipelago, East Coast of the United States, Western Europe",Minimal,3 (1),
Cristobal,August 23,August 29,Category 1 hurricane,85 (140),965,"Puerto Rico, Hispaniola, Turks and Caicos Islands, Bermuda, East Coast of the United States, Iceland",Unknown,7,
Dolly,September 1,September 3,Tropical storm,50 (85),1000,"Mexico (Tamaulipas), Texas",6500000,0 (1),
Edouard,September 11,September 19,Category 3 hurricane,120 (195),955,East Coast of the United States,Minor,2,
Fay,October 10,October 13,Category 1 hurricane,80 (130),983,Bermuda,3800000,None,
Gonzalo,October 12,October 19,Category 4 hurricane,145 (230),940,"Lesser Antilles, Puerto Rico, Bermuda, Newfoundland, Europe",316000000,5 (1),
Hanna,October 22,October 28,Tropical storm,40 (65),1000,"Southeastern Mexico (Campeche), Central America (Nicaragua, Belize)",Unknown,None,
