Arlene,June 28,July 1,Tropical storm,65 (100),993,"Central America, Mexico (Veracruz), Texas, Florida",223400000,18 (4),
Bret,July 17,July 22,Tropical storm,70 (110),995,"Bahamas, Bermuda, East Coast of the United States",None,0,
Cindy,July 20,July 22,Tropical storm,70 (110),994,Bermuda,None,0,
Don,July 27,July 30,Tropical storm,50 (85),997,"Cuba, Yucatán Peninsula, Northeastern Mexico, Texas",None,0,
Emily,August 2,August 7,Tropical storm,50 (85),1003,"Antilles, Florida, Bahamas",5000000,4 (1),
Franklin,August 12,August 13,Tropical storm,45 (75),1004,Bermuda,None,0,
Gert,August 13,August 16,Tropical storm,65 (100),1000,Bermuda,None,0,
Harvey,August 19,August 22,Tropical storm,65 (100),994,"Lesser Antilles, Hispaniola, Central America (Belize), Mexico (Veracruz)",Minimal,5,
Irene,August 21,August 28,Category 3 hurricane,120 (195),942,"Antilles (US Virgin Islands, Puerto Rico), Lucayan Archipelago (Bahamas), Eastern United States (North Carolina, New Jersey, New York), Eastern Canada",14200000000,49 (9),
Ten,August 25,August 26,Tropical depression,35 (55),1006,None,None,0,
Jose,August 27,August 28,Tropical storm,45 (75),1006,Bermuda,None,0,
Katia,August 29, September 10,Category 4 hurricane,140 (220),942,"Lesser Antilles, East Coast of the United States, Canada, Europe",157000000,3 (1),
Unnamed,August 31, September 3,Tropical storm,45 (75),1002,None,None,0,
Lee,September 1,September 5,Tropical storm,60 (95),986,"Gulf Coast of the United States (Louisiana), Eastern United States",2800000000,18,
Maria,September 6,September 16,Category 1 hurricane,80 (130),983,"Lesser Antilles, Bermuda, Newfoundland, Europe",1300000,0,
Nate,September 7,September 11,Category 1 hurricane,75 (120),994,Mexico (Veracruz),Minimal,4 (1),
Ophelia,September 20,October 3,Category 4 hurricane,140 (220),940,"Leeward Islands, Bermuda, Newfoundland, Europe",Minimal,0,
Philippe,September 24,October 8,Category 1 hurricane,90 (150),976,None,None,0,
Rina,October 23,October 28,Category 3 hurricane,115 (185),966,"Central America, Yucatán Peninsula (Quintana Roo), Cuba, Florida",2300000,0,
Sean,November 8,November 11,Tropical storm,65 (100),982,Bermuda,Minimal,(1),
