Andrea,June 5,June 7,Tropical storm,65 (100),992,"Yucatán Peninsula, Cuba, Eastern United States, Atlantic Canada",86000,4,
Barry,June 17,June 20,Tropical storm,45 (75),1003,"Central America (Belize), Mexico (Veracruz)",Minimal,5[32],
Chantal,July 7,July 10,Tropical storm,65 (100),1003,"Lesser Antilles, Puerto Rico, Hispaniola",10000000,1,
Dorian,July 23, August 3,Tropical storm,60 (95),1002,"The Bahamas, Florida",None,None,
Erin,August 15,August 18,Tropical storm,45 (75),1006,Cape Verde,Minimal,None,
Fernand,August 25,August 26,Tropical storm,60 (95),1001,Mexico (Veracruz),$1 million,14,
Gabrielle,September 4,September 13,Tropical storm,65 (100),1003,"Lesser Antilles, Puerto Rico, Hispaniola, Bermuda, Atlantic Canada",Minimal,None,
Eight,September 6,September 7,Tropical depression,35 (55),1008,Mexico (Tamaulipas),None,None,
Humberto,September 8,September 19,Category 1 hurricane,90 (150),979,Cape Verde,Minimal,None,
Ingrid,September 12,September 17,Category 1 hurricane,85 (140),983,"Mexico (Tamaulipas), Texas",1500000000,23,
Jerry,September 29,October 3,Tropical storm,50 (85),1005,Azores,None,None,
Karen,October 3,October 6,Tropical storm,65 (100),998,"Yucatán Peninsula, United States Gulf Coast, Northeastern United States",Minimal,None,
Lorenzo,October 21,October 24,Tropical storm,50 (85),1000,None,None,None,
Melissa,November 18,November 21,Tropical storm,65 (100),980,Azores,None,None,
Unnamed,December 5,December 7,Subtropical storm,50 (85),997,Azores,None,None,
