,#hurricanecindy,hurricane cindy,#hurricanedon,hurricane don,#hurricanefranklin,hurricane franklin,#hurricanegert,hurricane gert,#hurricaneharvey,hurricane harvey,#hurricaneirma,hurricane irma,#hurricanejose,hurricane jose,#hurricanekatia,hurricane katia,#hurricanelee,hurricane lee,#hurricanemaria,hurricane maria,#hurricanenate,hurricane nate,#hurricaneophelia,hurricane ophelia
2017-08-29,,,,,,,,,0.00030664625348465616,0.0004017574461728962,,,,,,,,,,,,,,
2017-08-30,,,,,,,,,0.00021185190092733275,0.00035387354208291875,3.083532544219178e-08,2.0593363027745938e-07,,,,,,,,,,,,
2017-08-31,,,,,,,,,0.00012724327428518243,0.0002293848210417739,2.466264397356252e-06,1.4499875383146472e-05,,,,,,,,,,,,
2017-09-01,,,,,,,,,9.240070000209875e-05,0.00015054348261458577,2.2894829621445746e-06,1.6724821415445744e-05,,,,,,,,,,,,
2017-09-02,,,,,,,,,5.7940320426081824e-05,0.00012926827788585325,2.0024415634479557e-06,9.070801669380291e-06,,,,,,,,,,,,
2017-09-03,,,,,,,,,3.72134609370369e-05,0.00013331792326149908,3.0330413804341897e-06,1.2788477380806482e-05,,,,,,,,,,,,
2017-09-04,,,,,,,,,2.7315879684239218e-05,5.89184742019927e-05,2.2094478342043363e-05,6.368281131312874e-05,,,,,,,,,,,,
2017-09-05,,,,,,,,,2.2546519481059837e-05,5.4608012740323685e-05,7.505454282011343e-05,0.0003123959161426423,6.386110946641652e-07,1.800471333230075e-06,,,,,,,,,,
2017-09-06,,,,,,,,,2.018757172820572e-05,5.423094578319476e-05,0.00013797543167115708,0.0005019988572105087,3.6348439055470815e-06,4.829995965684836e-06,1.1575649116798016e-06,5.1028500489792225e-06,,,,,,,,
2017-09-07,,,,,,,,,2.359322693218892e-05,4.300371655407945e-05,0.00012748991983022428,0.00037327385964165894,3.3751617727259705e-06,8.999731403016277e-06,7.521251861227789e-07,1.344959859672988e-06,,,,,,,,
2017-09-08,,,,,,,,,1.7796189356255723e-05,8.18186590821535e-05,0.00014831145650854582,0.000326702110563707,4.045262026859127e-06,1.638264092426248e-05,1.1063964517905306e-06,5.478388741265075e-06,,,,,,,,
2017-09-09,,,,,,,,,1.5317947256269554e-05,7.677916576357603e-05,0.00022182619042047821,0.0003256221312539566,3.12705171185456e-06,1.003741826376913e-05,7.011556211523318e-07,3.8035385168897137e-06,,,,,,,,
2017-09-10,,,,,,,,,1.2561375086399166e-05,2.432574827536689e-05,0.00046499571214773195,0.00041394358343321104,4.726400664804666e-06,6.530227611889934e-06,1.9550778344590142e-07,2.747378628747319e-06,,,,,,,,
2017-09-11,,,,,,,,,7.943798057088153e-06,1.9126183760575244e-05,0.00018902540058147142,0.00022374426603246532,2.039492270784275e-06,3.979446783517955e-06,6.327780315082476e-08,5.692316595409299e-07,,,,,,,,
2017-09-12,,,,,,,,,7.934558460517773e-06,1.7745406312051133e-05,9.302438329250148e-05,0.00013140796752776588,1.016763778772936e-06,1.7770670273201546e-05,3.800986088870789e-08,3.789594172562172e-07,,,,,,,,
2017-09-13,,,,,,,,,6.192977910609763e-06,1.944619474888057e-05,3.903873324331053e-05,7.22316292398273e-05,6.748144400278025e-07,2.4211122698593198e-05,1.9143672057526313e-08,,,,,,,,,
2017-09-14,,,,,,,,,5.4113377753678305e-06,1.6258179233035754e-05,2.2485620942366944e-05,4.043112180268119e-05,3.8412335583800037e-07,5.174448757783508e-06,,7.654509996721165e-08,,,,,,,,
2017-09-15,,,,,,,,,4.845377328767883e-06,1.8959013678459352e-05,1.5836972101623223e-05,2.9170187288146956e-05,6.504200576597884e-07,2.5568135495123297e-06,,,2.5210079754255368e-08,,,,,,,
2017-09-16,,,,,,,,,2.897654331012231e-06,2.6794662537677696e-05,8.817071092875206e-06,2.9872660634590525e-05,7.662326163942958e-07,5.1338251840299746e-06,,,,,6.151444948517586e-07,1.73998773015781e-06,,,,
2017-09-17,,,,,,,,,7.121142047013431e-06,1.9379155841632857e-05,1.1305936601990466e-05,1.950672022457284e-05,7.990061202820119e-07,3.3698257826646274e-06,,,,,2.282161231055496e-06,6.096514468006826e-06,,,,
2017-09-18,,,,,,,,,4.02136113129195e-06,9.549804306591362e-06,8.278164951769611e-06,1.4079454672139152e-05,1.0500743937682727e-06,3.163247548095252e-06,,,2.8253122702285367e-08,,2.275789033669086e-05,5.787942190850236e-05,,,,
2017-09-19,,,,,,,,,2.534389128439171e-06,5.459860668259221e-06,5.6293587518305e-06,1.0739560947831613e-05,1.3284344502227626e-06,2.717419196026358e-06,1.8843041847131387e-08,,,,3.435086528732052e-05,7.664823647576375e-05,,,,
2017-09-20,,,,,,,,,2.765566752882469e-06,5.268528026352342e-06,5.493697745996648e-06,1.0795512144563479e-05,3.5563971779876086e-07,6.95843324235215e-07,,,,,5.02762253688143e-05,9.447564219330691e-05,,,,
2017-09-21,,,,,,,,,2.256301996172939e-06,5.9003084407086525e-06,4.605799074796499e-06,8.819188941412581e-06,1.7658015622223e-07,2.0327917772759493e-07,,,,,2.7747609548587647e-05,4.7994735090146e-05,,,,
2017-09-22,,,,,,,,,2.0566456477142927e-06,6.318443486897193e-06,3.9914159977862566e-06,7.046872069929748e-06,1.0156274803527371e-07,1.5647725116995612e-07,,,,,1.5508631624986297e-05,5.407637969742415e-05,,,,
2017-09-23,,,,,,,,,1.3712674781257851e-06,2.8047235194823377e-06,3.3074585299864884e-06,4.819817382657034e-06,2.4142033065594806e-08,,,,,,1.0255535646264673e-05,2.161226624244617e-05,,,,
2017-09-24,,,,,,,,,1.2593518052178452e-06,2.2910789871919238e-06,2.4030034445852874e-06,3.429532669487292e-06,4.450006378861644e-08,,,,3.115004465203151e-08,3.6373831343047037e-07,4.6836317137518805e-05,2.409648229621856e-05,,,,
2017-09-25,,,,,,,,,1.7360932398415312e-06,3.496555653950507e-06,3.6903343213385425e-06,4.422540047824297e-06,,,,,4.0902720310402565e-08,2.6525594616176264e-07,3.331753806617347e-05,3.6566737887245163e-05,,,,
2017-09-26,,,,,,,,,2.637810894135895e-06,3.868685554360992e-06,3.7880997078659083e-06,3.844169169352367e-06,2.7717802740482254e-08,,,,1.2473011233217015e-07,3.53035944124197e-07,1.8478535160321502e-05,2.9341209578322147e-05,,,,
2017-09-27,,,,,,,,,2.347989163055551e-06,2.424737825899257e-05,2.8909036533272886e-06,3.518748823864357e-06,2.7841768731884e-08,1.230331756595929e-07,,,2.50575918586956e-07,6.988284377464877e-07,1.3888402302421467e-05,2.3971783945515083e-05,,,,
2017-09-28,,,,,,,,,2.0867753333254214e-06,1.8537179247230532e-05,2.6720318635914014e-06,3.7856111287671827e-06,3.358029272017919e-08,,,,1.103352475091602e-07,3.052048576233796e-07,1.3835080600713828e-05,2.121441484041807e-05,,,,
2017-09-29,,,,,,,,,1.278712150406912e-06,7.074202941340093e-06,2.1702445261886236e-06,3.696527740165488e-06,4.5850236468773735e-08,,,,2.5472353593763186e-08,2.215754931970541e-07,1.1131418520474513e-05,1.9855325902584798e-05,,,,
2017-09-30,,,,,,,,,9.312664059037283e-07,1.9370636906116564e-05,1.1665864116966057e-06,2.4379277049376207e-06,,,,,,,1.9115995364195884e-05,4.044622978888885e-05,,,,
2017-10-01,,,,,,,,,8.197286234719289e-07,1.7337611402772815e-05,1.0734541497846686e-06,2.2708952734493097e-06,,,,,,,1.324252073870723e-05,1.9966250452176466e-05,,,,
2017-10-02,,,,,,,,,7.497683174012731e-07,3.962835570555701e-06,1.0932376024677784e-06,2.0523410169656484e-06,,,,,,,6.094485485021522e-06,9.716482741228295e-06,,,,
2017-10-03,,,,,,,,,8.64802021818284e-07,5.435858017673142e-06,1.6209130791457453e-06,2.1292531405632125e-06,,,,,,,8.799242429648332e-06,4.8617111708295086e-05,,,,
2017-10-04,,,,,,,,,1.0765681912796123e-06,3.274060756465126e-06,1.515170046986121e-06,1.914717275994145e-06,,,,,,,9.833652969419792e-06,4.655619188757034e-05,5.781569916131251e-07,1.54975735322178e-06,,
2017-10-05,,,,,,,,,1.149997197772315e-06,1.7449190752181725e-06,1.2517668612919888e-06,1.836756921282287e-06,2.5442415879918472e-08,,,,,,4.859501433064428e-06,2.1576491598827806e-05,7.123876446377173e-07,1.3937743696789117e-06,,
2017-10-06,,,,,,,,,1.219390640642824e-06,4.442417377580413e-06,1.1720866933765077e-06,2.277017952327649e-06,,,,,,,4.1942833242800595e-06,8.605788437473615e-06,1.1352947343915947e-06,2.3216653631576027e-06,,
2017-10-07,,,,,,,,,7.103409346292675e-07,2.288148173125528e-06,1.2885254163042529e-06,2.176959387219172e-06,2.753259436547549e-08,,,,,,3.39201562582658e-06,5.834485239401921e-06,3.13375989067842e-05,3.508298797413692e-05,,
2017-10-08,,,,,,,,,6.497618687727135e-07,1.8902026617419737e-06,8.696812705111705e-07,1.497295366885496e-06,1.999267288531426e-08,,,,,,2.479091437778968e-06,4.5025052167336906e-06,2.604545460134315e-05,2.250190696759125e-05,,
2017-10-09,,,,,,,,,8.636929539343264e-07,1.6163118523692254e-06,1.0539981810723983e-06,3.2999700319205016e-06,,,,,,,2.132394468188139e-06,5.455052501746135e-06,2.229986892361509e-06,4.662438035680458e-06,,
2017-10-10,,,,,,,,,9.324533637731781e-07,1.6612571790421086e-06,9.657552696222202e-07,1.6562077651240476e-06,,,,,,,2.511915184042031e-06,6.564238093479457e-06,4.804989272504643e-07,8.230544686439626e-07,4.757415121291726e-08,
2017-10-11,,,,,,,,,8.500737035635829e-07,2.485674927266589e-06,1.0577621652296854e-06,1.6810337652442088e-06,,,,,,,1.825726476971786e-06,7.733780340711924e-06,1.4972889096858562e-07,2.870057647977917e-07,2.6564803236361966e-07,5.278856031102241e-07
2017-10-12,,,,,,,,,1.0511810473432541e-06,1.6054929459930782e-06,1.2181911202856405e-06,1.5950676671229933e-06,,,,,,,2.0778017898420395e-06,9.799762137879827e-06,9.332915840898051e-08,1.3552862531110402e-07,9.431157060275924e-07,2.05377993740673e-06
2017-10-13,,,,,,,,,9.911138712531188e-07,2.4182153040755532e-06,9.32182776205636e-07,1.6500763251339067e-06,,,,,,,2.148306283094598e-06,5.524910730017322e-06,1.071474455408777e-07,1.7638746923845212e-07,1.2643398573823568e-06,3.2432534666425066e-06
2017-10-14,,,,,,,,,8.561878874543313e-07,5.688603218280348e-06,9.543495560796686e-07,1.2918111177968611e-06,,,,,,,1.3088222483378311e-06,4.9239437225440895e-06,7.089453845163252e-08,1.2744324928937643e-07,2.034127910958379e-06,7.571287582782501e-06
2017-10-15,,,,,,,,,7.514274419346024e-07,8.245723568449297e-06,6.536389392170857e-07,9.95173534123191e-07,,,,,,,1.1528749794065133e-06,3.936950244882953e-06,2.5733816504609672e-08,,8.054684565942826e-06,1.5233810253116537e-05
2017-10-16,,,,,,,,,6.606922930192838e-07,3.336696667633634e-06,6.74650580899973e-07,9.477008286770085e-07,,,,,,,9.770801516482367e-07,2.418611489852782e-06,6.048591414965274e-08,,1.2246071233991234e-05,1.9960948704009488e-05
2017-10-17,,,,,,,,,7.683785688638975e-07,1.2510606930426858e-06,1.0040775163681606e-06,3.332825686265715e-06,,,,,,,1.3293420639240434e-06,2.196862576982956e-06,3.7711831600682086e-08,,1.414193685025578e-06,4.7890603329674015e-06
2017-10-18,,,,,,,,,6.357362558161615e-07,1.7737069601059802e-06,8.998113159244132e-07,1.319389036991115e-05,,,,,,,1.2959239060867907e-06,4.019365187374663e-06,1.9072087674484846e-07,3.99343379906902e-07,2.738556178900388e-07,1.3432459142323066e-06
2017-10-19,,,,,,,,,1.301556813226055e-06,5.593269026155324e-06,1.1873851629430679e-06,5.7748686698616664e-06,,,,,,,1.0446706000893336e-06,7.142919319116107e-06,,,1.3700598033958473e-07,5.750655384034154e-07
2017-10-20,,,,,,,,,1.0826157819871222e-06,1.158040509149097e-05,9.407195387169654e-07,1.7618719349596278e-06,,,,,,,1.7027549192418816e-06,8.469251484821755e-06,,,4.204333133930572e-08,5.575544097973505e-07
2017-10-21,,,,,,,,,2.142244427294923e-06,4.102308979080942e-06,1.4902569929008155e-06,9.833903793825236e-07,,,,,,,1.0574249986391817e-06,2.7930614325657476e-06,,,1.4245103608610737e-07,2.2693624139596698e-07
2017-10-22,,,,,,,,,1.3605071342196094e-06,2.652999316716205e-06,5.904087563594531e-07,2.3418450758667734e-06,,,,,,,1.026797837146875e-06,4.710984383387005e-06,,,4.620590267160938e-08,3.9849578214049987e-07
2017-10-23,,,,,,,,,8.406699298671112e-07,3.3049237763963383e-06,8.006380284448677e-07,1.6152682122580176e-06,,,,,,,2.166726664478923e-06,3.990350090150563e-06,,,,1.5940146831493594e-07
2017-10-24,,,,,,,,,8.509138655061776e-07,2.339775686331677e-06,9.050182153360501e-07,1.927181313072296e-06,,,,,,,9.148553698505724e-07,3.6924585049921776e-06,,,2.951146354356685e-08,1.0445427171123559e-07
2017-10-25,,,,,,,,,8.278057195297914e-07,5.252475285254697e-06,7.268538025139632e-07,1.2863204780215585e-06,,,,,,,8.379009112313743e-07,2.8567033949395445e-06,,,,1.0183370451004005e-07
2017-10-26,,,,,,,,,9.184125454952968e-07,4.485578393998109e-06,6.775174515948911e-07,2.1628798431867364e-06,,,,,,,8.481514764410119e-07,4.767924777468298e-06,2.0074591158367144e-08,,,8.523664406647237e-08
2017-10-27,,,,,,,,,5.339588779658818e-07,2.795519032230381e-06,4.3351116824952783e-07,3.2221444267073064e-06,,,,,,,8.353020071149439e-07,1.1047352320139337e-05,,,3.066298507130807e-07,
2017-10-28,,,,,,,,,7.303056356259257e-07,2.280255232638257e-06,4.755478557564168e-07,1.082970822888882e-06,,,,,,,5.887735356984208e-07,1.290540230609251e-05,,,,
2017-10-29,,,,,,,,,2.9451680395076623e-07,1.3664973821240996e-06,4.1232352553107267e-07,5.522926919418236e-07,,,,,,,5.836787569206093e-07,6.1663194368349995e-06,,,2.1419403923692087e-08,
2017-10-30,,,,,,,,,4.068575914043034e-07,1.123245671327572e-06,3.5420543251668766e-07,5.794117942594715e-07,,,,,,,5.025887893817866e-07,2.7496647429331062e-06,,,,
2017-10-31,,,,,,,,,5.164212921464025e-07,1.6245801581354026e-06,3.8610937730572153e-07,6.508570349627638e-07,2.8958203297929114e-08,,,,,,6.0329590204019e-07,2.6854258765392775e-06,,,,
2017-11-01,,,,,,,,,5.022057203784821e-07,1.5638303374569065e-06,6.289305283244542e-07,5.827011130014589e-07,3.2854579837844625e-08,,,,,,5.209797660001076e-07,1.6982998250726278e-06,,,,
2017-11-02,,,,,,,,,9.137945059767203e-07,3.942094835121081e-06,4.45060536589698e-07,4.770688017025511e-07,,,,,,,5.586930140168548e-07,1.5818597109084587e-06,,,,
2017-11-03,,,,,,,,,5.322864789614825e-07,4.027265748481603e-06,3.3567615790363755e-07,5.745972595687135e-07,,,,,,,3.8842526843135204e-07,2.54755068180465e-06,,,,
2017-11-04,,,,,,,,,2.2292075088222347e-07,1.522135666384709e-06,4.193033171356108e-07,4.848283974410554e-07,2.6538184628836127e-08,,,,,,7.377615326816443e-07,2.559442935328362e-06,,,,
2017-11-05,,,,,,,,,2.2128470733377686e-07,7.662972340889593e-07,2.0685309598592187e-07,3.627140241354407e-07,,,,,,,7.16770030276799e-07,8.47013876079663e-06,,,,
2017-11-06,,,,,,,,,3.621820145134446e-07,6.505560640763915e-07,4.1530204330874983e-07,4.5590149372282553e-07,,,,,,,4.780802591577469e-07,2.8276137588202214e-06,,,,
2017-11-07,,,,,,,,,4.579595553970844e-07,7.583758593796442e-07,3.7634300096988123e-07,5.711818181403649e-07,,,,,,,4.126170251597493e-07,1.689546218364777e-06,,,,
2017-11-08,,,,,,,,,3.2112232871106656e-07,8.348191173033033e-07,3.711673669517523e-07,5.36041749005279e-07,,,,,,,5.588362603543237e-07,2.9526234043569466e-06,,,,
2017-11-09,,,,,,,,,2.665292319787353e-07,5.522389225408386e-07,4.206164442164417e-07,3.944563732434562e-07,,,,,,,5.538810602058093e-07,5.649491834564611e-06,,,,
2017-11-10,,,,,,,,,4.149555410736557e-07,5.19455311480207e-07,3.5817215124252385e-07,2.6662308022877877e-07,,,,,,,5.154184615441197e-07,3.7603048211576043e-06,,,,
2017-11-11,,,,,,,,,4.2409024931837055e-07,2.339339172501866e-06,2.1204512465918528e-07,2.7664384405105056e-07,,,,,,,4.056515428262675e-07,3.111029895381112e-06,,,,
2017-11-12,,,,,,,,,2.433741907564783e-07,9.65149842613668e-07,2.0797430846462694e-07,2.844161371953321e-07,,,,,,,3.628487934914768e-07,2.3033044553195747e-06,,,,
2017-11-13,,,,,,,,,4.6726798483393874e-07,1.8540943754066716e-05,3.3437525520226813e-07,4.872072811287604e-07,,,,,,,4.629811225877558e-07,1.9984520883337118e-06,,,,
2017-11-14,,,,,,,,,3.210390007438844e-07,3.507076490909375e-05,4.4451553949153224e-07,3.8087465284465626e-07,,,,,,,6.997003862366711e-07,1.0781349548136804e-05,,,,
2017-11-15,,,,,,,,,2.49928719100155e-07,2.434734519818112e-05,3.6055290624284656e-07,9.220194430031428e-07,,,,,,,1.7945701469814408e-06,6.40674257825081e-06,,,,1.4218056831356875e-07
2017-11-16,,,,,,,,,3.0477056849547895e-07,2.988877761935414e-06,3.5690237626444243e-07,7.714592812893946e-07,,,,,,,7.859872555936036e-07,3.233383982234785e-06,,9.695936322216435e-08,,
2017-11-17,,,,,,,,,4.5486767244739144e-07,1.5331841665827215e-06,4.2510997424989853e-07,7.241277987941717e-07,,,,,,,4.888764703873833e-07,2.4942179736243692e-06,,,,
2017-11-18,,,,,,,,,2.723287245902662e-07,1.0128072050875255e-06,2.9956159704929286e-07,9.077045705973106e-07,,,,,,,3.676437781968594e-07,1.6720873668897827e-06,,,,
2017-11-19,,,,,,,,,1.3517409926298616e-07,7.117635201680652e-07,2.7444438335212343e-07,6.384303089992342e-07,,,,,,,3.154062316136344e-07,7.3117525253628525e-06,,,,
2017-11-20,,,,,,,,,4.416453362874063e-07,8.519366794706869e-07,3.925736322554723e-07,5.335361022947737e-07,,,,,,,8.015044991882559e-07,9.831693497931918e-06,,,,
2017-11-21,,,,,,,,,3.5713068596488145e-07,6.86300338106509e-07,3.653405867916603e-07,4.2300272411596156e-07,,,,,,,6.198475124218057e-07,6.077426893421161e-06,,,,
2017-11-22,,,,,,,,,3.8214646905572187e-07,4.379112757173949e-07,2.9627085803196415e-07,4.514549234199948e-07,,,,,,,4.1649671346522495e-07,1.6748977658881806e-06,,,,
2017-11-23,,,,,,,,,4.934801918996422e-07,1.029513848118211e-06,2.5623009964019883e-07,5.397451242561494e-07,,,,,,,2.894451125565209e-07,1.4992920118226372e-06,,,,
2017-11-24,,,,,,,,,3.478059750907413e-07,2.17659781717084e-06,2.8908548578970706e-07,4.3722052222645694e-07,,,,,,,3.478059750907413e-07,2.25738856584312e-06,,,,
2017-11-25,,,,,,,,,3.930663995538819e-07,1.347087015131718e-06,1.3538953762411485e-07,4.4136639403633087e-07,,,,,,,2.8388128856669245e-07,1.5723677787544287e-06,,,,
2017-11-26,,,,,,,,,3.807208382220709e-07,9.710328820196695e-07,2.961162075060551e-07,2.761653150698143e-07,,,,,,,3.088069021134575e-07,1.6837175660708033e-06,,,,
2017-11-27,,,,,,,,,3.227233623231805e-07,1.256232754107793e-06,2.485842115192066e-07,2.61333091183008e-07,,,,,,,3.1836223580529964e-07,1.6459399953456118e-06,,,,
2017-11-28,,,,,,,,,5.856401062675765e-07,1.2131999957379757e-06,3.6393349460913683e-07,2.461565208743719e-07,,,,,,,4.224975052358944e-07,2.813217381421393e-06,,,,
2017-11-29,,,,,,,,,3.842000333477945e-07,5.934454291462471e-07,2.497300216760664e-07,2.260744491985703e-07,,,,,,,2.650980230099782e-07,1.3201133015702232e-06,,,,
2017-11-30,,,,,,,,,4.75774129667191e-07,1.5582388993982505e-06,3.5481460517553224e-07,4.6154358705002527e-07,,,,,,,2.86270874630259e-07,1.2321943470785078e-06,,,,
2017-12-01,,,,,,,,,2.553365525669393e-07,6.780433751500069e-07,2.7306825760631013e-07,2.9804104402198105e-07,,,,,,,3.1207800869292584e-07,7.674556883566011e-07,,,,
2017-12-02,,,,,,,,,2.988120714457645e-07,4.969281611812071e-07,1.6686907885932303e-07,3.177081686240504e-07,,,,,,,1.7074975511186545e-07,4.6434270798899674e-07,,,,
2017-12-03,,,,,,,,,2.505985414801114e-07,1.7106372240390373e-06,1.8592795013040522e-07,1.3243643024818354e-06,,,,,,,2.869757491143211e-07,9.80538954722128e-07,,,,
2017-12-04,,,,,,,,,2.894800896981398e-07,1.3889536105621133e-06,1.8092505606133737e-07,4.095091192234802e-07,,,,,,,3.6185011212267473e-07,2.6723636336954947e-06,,,,
2017-12-05,,,,,,,,,2.0369635241790462e-06,1.1248092599391756e-06,2.303708747583445e-07,1.345526548681957e-06,,,,,,,3.879930522245802e-07,1.561999274179685e-06,,,,
2017-12-06,,,,,,,,,2.1034649096034745e-06,1.0239675081738842e-06,2.740145859253568e-07,8.589479510714812e-07,,,,,,,2.4580720208009953e-07,9.943486133093502e-07,,,,
2017-12-07,,,,,,,,,1.3760113316894367e-06,1.4019848617777996e-06,3.256831554294525e-07,2.8638105408266026e-07,,,,,,,2.727596426721664e-07,5.941338286192504e-07,,,,
2017-12-08,,,,,,,,,6.297624340872268e-07,3.9928518608593545e-06,1.3434931927194173e-07,2.60020154294373e-07,,,,,,,4.5342895254280334e-07,4.83020490011242e-06,,,,
2017-12-09,,,,,,,,,3.6705033045977126e-07,1.4556827836233296e-06,1.147032282686785e-07,2.3618694171371903e-07,2.2940645653735704e-08,,,,,,4.083434926364955e-07,1.7786322753543332e-06,,,,
2017-12-10,,,,,,,,,4.571574881175351e-07,1.0366280601610698e-06,4.359927895935751e-07,1.646147563345905e-07,,,,,,,6.222421366044227e-07,9.832394905390404e-07,,,,
2017-12-11,,,,,,,,,2.3818620061706697e-07,3.9819684438235606e-07,3.310384483152456e-07,2.0757069547590901e-07,,,,,,,4.965576724728684e-07,1.452994868331363e-06,,,,
2017-12-12,,,,,,,,,1.2836242638782945e-07,6.058927417304729e-07,9.815950253186958e-08,3.168066623427309e-07,,,,,,,1.9254363958174415e-07,1.009821236217455e-06,,,,
