,#hurricaneberyl,hurricane beryl,#hurricanechris,hurricane chris,#hurricaneflorence,hurricane florence,#hurricanegordon,hurricane gordon,#hurricanehelene,hurricane helene,#hurricaneisaac,hurricane isaac,#hurricaneleslie,hurricane leslie,#hurricanemichael,hurricane michael,#hurricaneoscar,hurricane oscar
2018-07-06,4.7630526666699105e-07,2.5798932742881225e-06,,,,,,,,,,,,,,,,
2018-07-07,2.2165513170624785e-07,1.6094426464827985e-06,,5.163987101014326e-07,,,,,,,,,,,,,,
2018-07-08,6.129790617304405e-08,5.652389552821992e-07,5.312485201663818e-08,3.075413770330875e-05,,,,,,,,,,,,,,
2018-07-09,1.8444616745856477e-08,,9.960093042762497e-08,1.9008879715072573e-05,,,,,,,,,,,,,,
2018-07-10,,,8.811881271002844e-07,2.2835468164483725e-06,,,,,,,,,,,,,,
2018-07-11,,1.818719711425562e-07,7.846635519983338e-07,3.3759984643337e-06,,,,,,,,,,,,,,
2018-07-12,,8.05277537426932e-08,1.721290930989059e-07,6.250487552409044e-07,,,,,,,,,,,,,,
2018-07-13,,,2.9464825114605923e-08,9.643119599643286e-08,,,,,,,,,,,,,,
2018-07-14,,,,8.743052005859094e-08,,,,,,,,,,,,,,
2018-07-15,,,,,,,,,,,,,,,,,,
2018-07-16,,,,,,,,,,,,,,,,,,
2018-07-17,,,,,,,,,,,,,,,,,,
2018-07-18,,,,,,,,,,,,,,,,,,
2018-07-19,,,,,,,,,,,,,,,,,,
2018-07-20,,,,,,,,,,,,,,,,,,
2018-07-21,,,,,,,,,,,,,,,,,,
2018-07-22,,,,,,,,,,,,,,,,,,
2018-07-23,,,,,,,,,,,,,,,,,,
2018-07-24,,,,,,,,,,,,,,,,,,
2018-07-25,,,,,,,,,,,,,,,,,,
2018-07-26,,,,,,,,,,,,,,,,,,
2018-07-27,,,,,,,,,,,,,,,,,,
2018-07-28,,,,,,,,,,,,,,,,,,
2018-07-29,,,,,,,,,,,,,,,,,,
2018-07-30,,,,,,,,,,,,,,,,,,
2018-07-31,,,,,,,,,,,,,,,,,,
2018-08-01,,,,,,,,,,,,,,,,,,
2018-08-02,,,,,,,,,,,,,,,,,,
2018-08-03,,,,,,,,,,,,,,,,,,
2018-08-04,,,,,,,,,,,,,,,,,,
2018-08-05,,,,,,,,,,,,,,,,,,
2018-08-06,,,,,,,,,,,,,,,,,,
2018-08-07,,,,,,,,,,,,,,,,,,
2018-08-08,,,,,,,,,,,,,,,,,,
2018-08-09,,,,,,,,,,,,,,,,,,
2018-08-10,,,,,,,,,,,,,,,,,,
2018-08-11,,,,,,,,,,,,,,,,,,
2018-08-12,,,,,,,,,,,,,,,,,,
2018-08-13,,,,,,,,,,,,,,,,,,
2018-08-14,,,,,,,,,,,,,,,,,,
2018-08-15,,,,,,,,,,,,,,,,,,
2018-08-16,,,,,,,,,,,,,,,,,,
2018-08-17,,,,,,,,,,,,,,,,,,
2018-08-18,,,,,,,,,,,,,,,,,,
2018-08-19,,,,,,,,,,,,,,,,,,
2018-08-20,,,,,,,,,,,,,,,,,,
2018-08-21,,,,,,,,,,,,,,,,,,
2018-08-22,,,,,,,,,,,,,,,,,,
2018-08-23,,,,,,,,,,,,,,,,,,
2018-08-24,,,,,,,,,,,,,,,,,,
2018-08-25,,,,,,,,,,,,,,,,,,
2018-08-26,,,,,,,,,,,,,,,,,,
2018-08-27,,,,,,,,,,,,,,,,,,
2018-08-28,,,,,,,,,,,,,,,,,,
2018-08-29,,,,,,,,,,,,,,,,,,
2018-08-30,,,,,,,,,,,,,,,,,,
2018-08-31,,,,,,,,,,,,,,,,,,
2018-09-01,,,,,,,,,,,,,,,,,,
2018-09-02,,,,,,,,,,,,,,,,,,
2018-09-03,,,,,,,2.183295509661027e-07,2.0286358875210144e-07,,,,,,,,,,
2018-09-04,,,,,6.387621228925495e-08,2.2794391312683328e-07,5.899156076125311e-07,6.956219417836119e-07,,,,,,,,,,
2018-09-05,,,,,4.117527596699335e-07,1.8349609989211746e-06,1.6393859875747353e-07,2.273756020402325e-07,,,,,,,,,,
2018-09-06,,,,,8.723952180043014e-07,2.1440697419193973e-06,1.5172090747900894e-08,,,,,,,,,,,
2018-09-07,,,,,5.913311333465011e-07,7.818463562848287e-07,1.8952920940592983e-08,,,,,,,,,,,
2018-09-08,,,,,1.1299767511407456e-06,1.218106089602182e-06,1.6496010965558328e-08,,,,,,,,,,,
2018-09-09,,,,,4.363922640507683e-06,6.9074726987042005e-06,,,3.6569184138332544e-08,1.3635973248521556e-07,4.8758912184443395e-08,1.4062097412537857e-07,,,,,,
2018-09-10,,,,,3.5298100052476375e-05,5.635595075068314e-05,2.7484616281127324e-08,,1.2171758638784957e-07,1.3987169322747845e-07,2.198769302490186e-07,5.512590262494738e-07,,,,,,
2018-09-11,,,,,7.079846326597503e-05,0.00010323756770117502,,,1.9900361698438745e-07,4.942332617939537e-07,1.3266907798959163e-07,1.6746746887233142e-07,,,,,,
2018-09-12,,,,,0.00011824282591196101,0.00012305042128101692,,,1.8191799462706363e-07,4.174498004658853e-07,2.7094169412541394e-08,8.105821368269618e-08,,,,,,
2018-09-13,,,,,8.997020164585986e-05,0.00011633361646132445,,,1.4347459102218838e-07,3.206907565232965e-07,4.6532299790980015e-08,9.336566329159265e-08,,,,,,
2018-09-14,,,,,0.00017007234170978314,0.0001319873340538566,,,5.7128767789648354e-08,4.95759179815671e-07,1.6322505082756672e-08,,,,,,,
2018-09-15,,,,,0.00018225838733894477,9.201471365841236e-05,,,6.227862201911661e-08,1.0263251371349991e-07,,,,,,,,
2018-09-16,,,,,8.323608076514819e-05,5.9204539698381686e-05,,,2.0993765326157227e-08,,,,,,,,,
2018-09-17,,,,,6.399507975346218e-05,3.909177638349198e-05,,,3.168465391927822e-08,,1.584232695963911e-08,,,,,,,
2018-09-18,,,,,3.3487787585163624e-05,5.4918423018934766e-05,,,,,,,,,,,,
2018-09-19,,,,,1.8245933256328075e-05,5.7670833376686455e-05,,,,,,,,,,,,
2018-09-20,,,,,1.120316284357149e-05,3.735947708905483e-05,,,,,,,,,,,,
2018-09-21,,,,,6.626995230235476e-06,2.6664981825682795e-05,,,,,,,,,,,,
2018-09-22,,,,,4.936518006574634e-06,1.5152257183292673e-05,,,,,,,,,,,,
2018-09-23,,,,,3.5680237472884806e-06,8.660981751474365e-06,,,,,,,,,,,,
2018-09-24,,,,,3.338382265359359e-06,1.2647777235421222e-05,,,,,,,,,,,,
2018-09-25,,,,,3.2137991096360088e-06,7.670344544504707e-06,,,,,,,,,,,,
2018-09-26,,,,,2.782808551346127e-06,1.6052074465352384e-05,,,,,,,,,,,,
2018-09-27,,,,,1.785865121941377e-06,1.4971312201718865e-05,,,,,,,,,,,,
2018-09-28,,,,,1.678127777061938e-06,1.7877184281121597e-05,,,,,,,,,,,,
2018-09-29,,,,,1.2022504635630392e-06,1.3127637944241202e-05,,,,,,,,,,,,
2018-09-30,,,,,8.245296583936522e-07,8.4209911464215e-06,,,,,,,,,,,,
2018-10-01,,,,,1.010024030468244e-06,4.547636322349388e-06,,,,,,,,,,,,
2018-10-02,,,,,1.3376748815964274e-06,3.965983054836561e-06,,,,,,,,,,,,
2018-10-03,,,,,1.0683601329962645e-06,4.6655967530736235e-06,,,,,,,4.1526365593494385e-08,1.9374088211915896e-07,,,,
2018-10-04,,,,,8.723531036034431e-07,4.884446423312804e-06,,,,,,,2.9824037730032245e-08,2.1067101186812415e-07,,,,
2018-10-05,,,,,1.3955979819041414e-06,2.8162751050173585e-06,,,,,,,,,,,,
2018-10-06,,,,,5.57774666492981e-07,1.072828512749563e-06,,,,,,,,,,,,
2018-10-07,,,,,3.9395809314159387e-07,1.0642296036890755e-06,,,,,,,2.387624806918751e-08,,1.2336061502413546e-07,5.67589121967507e-07,,
2018-10-08,,,,,6.301844889022317e-07,1.8588570820155272e-06,,,,,,,8.375869789206878e-08,,1.2208827345124883e-05,1.245643105296697e-05,,
2018-10-09,,,,,8.029322340438543e-07,2.218253390426625e-06,,,,,,,,,3.8063642573296335e-05,3.083209703287117e-05,,
2018-10-10,,,,,1.5536236359155563e-06,1.8599619028966018e-06,,,,,,,1.9275727492748836e-08,1.0490023747356105e-07,0.0001182797190410054,9.382519317106393e-05,,
2018-10-11,,,,,1.2963783452421052e-06,1.5587647317703899e-06,,,,,,,2.7007882192543862e-08,1.0095626501103561e-07,6.152781390349958e-05,6.220521224919971e-05,,
2018-10-12,,,,,5.259575572245736e-07,1.110102202946942e-06,,,,,,,1.1241840917777147e-07,8.367815847971268e-07,2.4615616666747035e-05,4.475730245517898e-05,,
2018-10-13,,,,,3.2809907421525686e-07,6.46305486517498e-07,,,,,,,5.143174676887811e-07,1.367005849180895e-06,2.016479175041876e-05,2.846998916508374e-05,,
2018-10-14,,,,,3.2061469651771315e-07,7.760368679056913e-07,,,,,,,2.3939230673322584e-07,2.691457345337658e-07,1.5487827273115662e-05,3.233786000423196e-05,,
2018-10-15,,,,,9.243309370378117e-07,7.517464726951241e-07,,,,,,,4.8648996686200614e-08,1.4865043245383809e-07,1.6670389531138076e-05,2.7810372334506623e-05,,
2018-10-16,,,,,6.728073955970431e-07,6.178125568561183e-07,,,,,,,,,1.5450823955357976e-05,1.171356022227204e-05,,
2018-10-17,,,,,4.320871416063706e-07,5.531082911406336e-07,,,,,,,,,7.473507227043521e-06,9.566259308136867e-06,,
2018-10-18,,,,,3.087223366455977e-07,4.6367421565582205e-07,,,,,,,,,5.2076583628902135e-06,7.116761126533856e-06,,
2018-10-19,,,,,3.9196789399320046e-07,3.625327789144297e-07,,,,,,,,,3.761223833849647e-06,6.468807777979161e-06,,
2018-10-20,,,,,2.876446888187182e-07,2.785711923828533e-07,,,,,,,,,2.61092871389298e-06,5.701423737435731e-06,,
2018-10-21,,,,,1.6187660722171417e-07,2.725277527631801e-07,,,,,,,,,1.814721965169743e-06,4.820613856253629e-06,,
2018-10-22,,,,,1.8042004927547935e-07,3.336917007983357e-07,,,,,,,,,2.5105257920460315e-06,3.960076208269405e-06,,
2018-10-23,,,,,1.873910899089371e-07,3.4345723694900524e-07,,,,,,,,,1.7528874868565158e-06,2.9561855037396522e-06,,
2018-10-24,,,,,1.627403851949107e-07,3.208194015857889e-07,,,,,,,,,1.5933419108618002e-06,2.2219714109830566e-06,,
2018-10-25,,,,,2.3141674818160916e-07,4.278635911132086e-07,,,,,,,,,2.5417272841946736e-06,1.9859328946009305e-06,,
2018-10-26,,,,4.775427387184598e-07,1.4929539416658935e-07,5.556860959632987e-07,,,,,,,,,1.1736276819206884e-06,3.572887945139022e-06,,
2018-10-27,,,,1.0571448055008783e-06,1.235082629412895e-07,2.8101317614580315e-07,,,,,,,,,6.260591259437778e-07,1.7083816899022635e-06,,
2018-10-28,,,,2.735386297483533e-07,8.697106733502965e-08,1.3459837336823733e-07,,,,,,,,,5.011190070256471e-07,1.2244110093497718e-06,,8.249577722569385e-08
2018-10-29,,,,,1.4045047821086002e-07,2.980590249308491e-07,,,,,,,,,6.827453801916807e-07,1.8495991547078717e-06,1.950701086261945e-08,2.6131202185718276e-07
2018-10-30,,,,,1.9134837010786067e-07,6.621946509076985e-07,,,,,,,,,7.41963067765174e-07,1.3080388166077993e-06,3.514561899940298e-08,2.0029344379306927e-07
2018-10-31,,,,,1.3484936822948394e-07,5.097192473667208e-07,,,,,,,,,9.643773000654003e-07,1.4135071565631753e-06,5.720882288523561e-08,2.3130117107397414e-07
2018-11-01,,,,,1.6505447416601757e-07,8.435848959046073e-07,,,,,,,,,5.580413174184403e-07,1.5143377643555876e-06,2.3579210595145366e-08,
2018-11-02,,,,,2.5772229618960597e-07,4.1701421087536183e-07,,,,,,,,,6.208764408204142e-07,1.475903236529467e-06,,
2018-11-03,,,,,1.4571686073938192e-07,3.729040763523882e-07,,,,,,,,,3.6429215184845486e-07,7.233440517196927e-07,,
2018-11-04,,,,,4.533642813530097e-08,1.7717244837406598e-07,,,,,,,,,4.2039233361824534e-07,9.89572943357588e-07,,
2018-11-05,,,,,1.4333714630803725e-07,1.9869063923024132e-07,,,,,,,,,4.610032543420657e-07,1.6381840458983162e-06,,
2018-11-06,,,,,1.1840379759274051e-07,1.8056344419147545e-07,,,,,,,,,3.721262210057559e-07,1.0585974473186503e-06,,
2018-11-07,,,,,1.577531070083926e-07,9.374444833658894e-08,,,,,,,,,3.2267680978989395e-07,6.637106942230498e-07,,
2018-11-08,,,,,1.2131172570739472e-07,1.4542040115112551e-07,,,,,,,,,2.6759939494278246e-07,1.3945443597569474e-06,,
2018-11-09,,,,,1.126967980514363e-07,2.0810856871678776e-07,,,,,,,,,4.470306322706973e-07,9.934239223650435e-07,,
2018-11-10,,,,,7.95877149437853e-08,1.9982018847306604e-07,,,,,,,,,2.6661884506168076e-07,4.329437416916431e-07,,
2018-11-11,,,,,8.287662034004349e-08,2.024530182774337e-07,,,,,,,,,3.6307852720400005e-07,5.081983928188642e-07,,
2018-11-12,,,,,5.94738424246418e-08,1.7890119013472255e-07,,,,,,,,,2.1187556363778642e-07,1.6062215549052265e-06,,
2018-11-13,,,,,1.5743205736378752e-07,2.6114612227979954e-07,,,,,,,,,2.956650833417473e-07,6.468388567238112e-07,,
2018-11-14,,,,,5.405984346671134e-08,2.5447502202844854e-07,,,,,,,,,2.2010079125732472e-07,6.260893399112622e-07,,
2018-11-15,,,,,7.270414626886474e-08,2.520642310073453e-07,,,,,,,,,1.8367363267923723e-07,1.004255904489582e-06,,
2018-11-16,,,,,9.522359089113487e-08,2.2087422633767593e-07,,,,,,,,,1.821668695308667e-07,7.059313508439446e-07,,
2018-11-17,,,,,6.283191943188635e-08,9.868616801839852e-08,,,,,,,,,1.4361581584431167e-07,4.1824137874464137e-07,,
