,hurricane beryl,#hurricanechris,hurricane chris,#hurricanedebby,hurricane debby,#hurricaneernesto,hurricane ernesto,hurricane gordon,#hurricaneisaac,hurricane isaac,hurricane kirk,#hurricaneleslie,hurricane leslie,#hurricanemichael,hurricane michael,hurricane nadine,#hurricanerafael,hurricane rafael,#hurricanesandy,hurricane sandy
2012-08-14,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-15,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-16,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-17,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-18,,0.0,1.469990799327587e-07,,,,,6.941623219046938e-07,,,,,,,,,,,,
2012-08-19,,0.0,1.6770285736919896e-07,,,,,1.9485474856230735e-06,,,,,,,,,,,,
2012-08-20,,0.0,1.3991804234392737e-07,,,,,9.72062188915706e-07,,,,,,,,,,,,
2012-08-21,,0.0,1.0232004339948492e-07,,,,,,4.029021931356385e-08,3.142687047269894e-07,,,,,,,,,,
2012-08-22,,0.0,1.6020718809164242e-07,,,,,,1.7392496693636207e-07,2.00258985114553e-06,,,,,,,,,,
2012-08-23,,0.0,8.613096764869177e-08,,,,,,3.4289793263869026e-07,2.7059479002963996e-06,,,,,,,,,,
2012-08-24,,0.0,1.2291900902602733e-07,,,,,,4.0213719693582743e-07,2.612028941803081e-06,,,,,,,,,,
2012-08-25,,0.0,1.1305065936514449e-07,,,,,,7.915791953161001e-07,4.473576092020717e-06,,,,,,,,,,
2012-08-26,,0.0,3.274270244544508e-07,,,,,,2.3509864557786703e-06,1.102591468395453e-05,,,,,,,,,,
2012-08-27,,0.0,2.1986475576539806e-07,,,,,,2.7520284804937834e-06,1.2818115261122708e-05,,,,,,,,,,
2012-08-28,,0.0,3.5873933420578736e-07,,,,,,4.371746506180954e-06,2.65060987311295e-05,,,,,,,,,,
2012-08-29,,1.2207607877669465e-08,2.77950064537027e-07,,,,,,4.779278484107596e-06,3.277163618065137e-05,,,,,,,,,,
2012-08-30,,0.0,1.1759700481812222e-07,,,,,,1.4413544200848887e-06,9.38009050196316e-06,7.055820289087334e-07,,,,,,,,,
2012-08-31,,0.0,7.204736411007964e-08,,,,,,6.235329273510443e-07,6.664381180182366e-06,5.763789128806371e-07,,,,,,,,,
2012-09-01,,0.0,1.2349029448869453e-07,,,,,,3.0456297596331624e-07,4.021152714288116e-06,0.0,,,,,,,,,
2012-09-02,,0.0,1.306843332000635e-07,,,,,,1.9032128573278618e-07,3.2209844476956827e-06,0.0,,,,,,,,,
2012-09-03,,0.0,1.0750674366509884e-07,,,,,,1.7756809134544566e-07,2.5443262667406724e-06,0.0,,,,,,,,,
2012-09-04,,0.0,1.0000667044491868e-07,,,,,,1.7736905058137666e-07,3.343080126301567e-06,1.3286600501967768e-06,,,,,,,,,
2012-09-05,,0.0,5.7544560511583226e-08,,,,,,1.1909805691718636e-07,2.445643821742287e-06,,5.293246974097172e-08,7.624654267784778e-07,,,,,,,
2012-09-06,,0.0,6.270226750000952e-08,,,,,,8.96534759315414e-08,1.9159026180558467e-06,,2.5615278837583256e-08,1.5466559316669017e-06,,9.962693613890404e-07,,,,,
2012-09-07,,0.0,8.253912263619921e-08,,,,,,1.4402052113537532e-07,1.543481593296925e-06,,6.064021942542119e-08,1.881891996105342e-06,,4.787269112899554e-07,,,,,
2012-09-08,,0.0,8.220907963934713e-08,,,,,,9.788765518148801e-08,5.096962937639522e-07,,7.52981962934523e-08,2.877317787377149e-07,,3.123945026295191e-07,,,,,
2012-09-09,,0.0,1.0269770739105131e-07,,,,,,4.031715408627661e-08,4.1079082956420524e-07,,0.0,2.0539541478210262e-07,,4.1812638009213744e-07,,,,,
2012-09-10,,0.0,9.714556876391545e-08,,,,,,7.551657542490859e-08,4.408914274670009e-07,,6.865143220446236e-08,3.2132765052679724e-07,,4.5583689958452633e-07,,,,,
2012-09-11,,0.0,8.429022469942508e-08,,,,,,1.197629401091673e-07,6.130198159958188e-07,,1.6907709191882443e-07,1.6091770169890244e-07,,,,,,,
2012-09-12,,0.0,9.79657627895754e-08,,,,,,9.700545948111752e-08,3.466480837169591e-07,,2.7715845566033577e-08,,,,,,,,
