,#hurricanebarry,hurricane barry,#hurricanedorian,hurricane dorian,hurricane erin,#hurricanehumberto,hurricane humberto,#hurricanejerry,hurricane jerry,#hurricaneimelda,#hurricanekaren,hurricane karen,#hurricanelorenzo,hurricane lorenzo,#hurricanepablo,hurricane pablo
2019-10-07,,,61.0,1091.0,0.0,,,,,,,,4.0,,,
2019-10-08,,,68.0,608.0,0.0,,,,,,,,,,,
2019-10-09,,,54.0,261.0,0.0,,,,,,,,,,,
2019-10-10,,,39.0,168.0,0.0,,,,,,,,,,,
2019-10-11,,,21.0,619.0,0.0,,,,,,,,,,,
2019-10-12,,,11.0,154.0,0.0,,,,,,,,,,,
2019-10-13,,,15.0,134.0,0.0,,,,,,,,,,,
2019-10-14,,,24.0,132.0,0.0,,,,,,,,,,,
2019-10-15,,,23.0,142.0,0.0,,,,,,,,,,,
2019-10-16,,,32.0,102.0,0.0,,,,,,,,,,,
2019-10-17,,,50.0,63.0,0.0,,,,,,,,,,,
2019-10-18,,,10.0,47.0,0.0,,,,,,,,,,,
2019-10-19,,,12.0,55.0,0.0,,,,,,,,,,,
2019-10-20,,,51.0,58.0,0.0,,,,,,,,,,,
2019-10-21,,,50.0,54.0,0.0,,,,,,,,,,,
2019-10-22,,,25.0,47.0,0.0,,,,,,,,,,,
2019-10-23,,,30.0,70.0,0.0,,,,,,,,,,,
2019-10-24,,,27.0,102.0,0.0,,,,,,,,,,,
2019-10-25,,,14.0,83.0,0.0,,,,,,,,,,,
2019-10-26,,,11.0,49.0,0.0,,,,,,,,,,,
2019-10-27,,,21.0,69.0,0.0,,,,,,,,,,6.0,36.0
2019-10-28,,,15.0,64.0,0.0,,,,,,,,,,7.0,25.0
2019-10-29,,,13.0,89.0,0.0,,,,,,,,,,,
2019-10-30,,,10.0,61.0,0.0,,,,,,,,,,,
2019-10-31,,,8.0,39.0,0.0,,,,,,,,,,,
2019-11-01,,,11.0,32.0,0.0,,,,,,,,,,,
2019-11-02,,,9.0,34.0,0.0,,,,,,,,,,,
2019-11-03,,,0.0,47.0,0.0,,,,,,,,,,,
2019-11-04,,,0.0,50.0,0.0,,,,,,,,,,,
2019-11-05,,,10.0,60.0,0.0,,,,,,,,,,,
2019-11-06,,,7.0,78.0,0.0,,,,,,,,,,,
2019-11-07,,,8.0,254.0,0.0,,,,,,,,,,,
2019-11-08,,,9.0,186.0,0.0,,,,,,,,,,,
2019-11-09,,,7.0,222.0,0.0,,,,,,,,,,,
2019-11-10,,,0.0,99.0,0.0,,,,,,,,,,,
2019-11-11,,,9.0,60.0,0.0,,,,,,,,,,,
2019-11-12,,,17.0,74.0,0.0,,,,,,,,,,,
2019-11-13,,,12.0,536.0,0.0,,,,,,,,,,,
2019-11-14,,,31.0,605.0,0.0,,,,,,,,,,,
2019-11-15,,,18.0,179.0,0.0,,,,,,,,,,,
2019-11-16,,,13.0,58.0,0.0,,,,,,,,,,,
2019-11-17,,,6.0,37.0,0.0,,,,,,,,,,,
2019-11-18,,,5.0,71.0,0.0,,,,,,,,,,,
2019-11-19,,,6.0,80.0,0.0,,,,,,,,,,,
2019-11-20,,,5.0,81.0,0.0,,,,,,,,,,,
2019-11-21,,,0.0,64.0,0.0,,,,,,,,,,,
2019-11-22,,,7.0,35.0,0.0,,,,,,,,,,,
2019-11-23,,,0.0,21.0,0.0,,,,,,,,,,,
2019-11-24,,,0.0,0.0,0.0,,,,,,,,,,,
2019-11-25,,,6.0,0.0,0.0,,,,,,,,,,,
2019-11-26,,,5.0,77.0,0.0,,,,,,,,,,,
2019-11-27,,,5.0,544.0,0.0,,,,,,,,,,,
2019-11-28,,,4.0,132.0,0.0,,,,,,,,,,,
2019-11-29,,,8.0,35.0,0.0,,,,,,,,,,,
2019-11-30,,,12.0,23.0,0.0,,,,,,,,,,,
2019-12-01,,,7.0,33.0,0.0,,,,,,,,,,,
2019-12-02,,,19.0,29.0,0.0,,,,,,,,,,,
2019-12-03,,,10.0,38.0,0.0,,,,,,,,,,,
2019-12-04,,,32.0,0.0,0.0,,,,,,,,,,,
2019-12-05,,,9.0,27.0,0.0,,,,,,,,,,,
2019-12-06,,,6.0,44.0,0.0,,,,,,,,,,,
2019-12-07,,,5.0,80.0,0.0,,,,,,,,,,,
2019-12-08,,,0.0,64.0,0.0,,,,,,,,,,,
2019-12-09,,,8.0,35.0,0.0,,,,,,,,,,,
2019-12-10,,,0.0,49.0,0.0,,,,,,,,,,,
2019-12-11,,,7.0,29.0,0.0,,,,,,,,,,,
2019-12-12,,,0.0,30.0,0.0,,,,,,,,,,,
2019-12-13,,,12.0,22.0,0.0,,,,,,,,,,,
2019-12-14,,,0.0,0.0,0.0,,,,,,,,,,,
2019-12-15,,,0.0,0.0,0.0,,,,,,,,,,,
2019-12-16,,,12.0,27.0,0.0,,,,,,,,,,,
2019-12-17,,,0.0,25.0,0.0,,,,,,,,,,,
2019-12-18,,,5.0,0.0,0.0,,,,,,,,,,,
2019-12-19,,,9.0,28.0,0.0,,,,,,,,,,,
2019-12-20,,,12.0,33.0,0.0,,,,,,,,,,,
2019-12-21,,,4.0,31.0,0.0,,,,,,,,,,,
2019-12-22,,,21.0,90.0,0.0,,,,,,,,,,,
2019-12-23,,,0.0,78.0,0.0,,,,,,,,,,,
2019-12-24,,,0.0,40.0,0.0,,,,,,,,,,,
2019-12-25,,,0.0,18.0,0.0,,,,,,,,,,,
2019-12-26,,,4.0,0.0,0.0,,,,,,,,,,,
2019-12-27,,,0.0,24.0,0.0,,,,,,,,,,,
2019-12-28,,,7.0,24.0,0.0,,,,,,,,,,,
2019-12-29,,,0.0,0.0,0.0,,,,,,,,,,,
2019-12-30,,,0.0,0.0,0.0,,,,,,,,,,,
2019-12-31,,,14.0,77.0,0.0,,,,,,,,,,,
2020-01-01,,,0.0,52.0,0.0,,,,,,,,,,,
2020-01-02,,,0.0,30.0,0.0,,,,,,,,,,,
2020-01-03,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-04,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-05,,,0.0,75.0,0.0,,,,,,,,,,,
2020-01-06,,,7.0,125.0,0.0,,,,,,,,,,,
2020-01-07,,,0.0,145.0,0.0,,,,,,,,,,,
2020-01-08,,,0.0,112.0,0.0,,,,,,,,,,,
2020-01-09,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-10,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-11,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-12,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-13,,,8.0,128.0,0.0,,,,,,,,,,,
2020-01-14,,,6.0,81.0,0.0,,,,,,,,,,,
2020-01-15,,,0.0,35.0,0.0,,,,,,,,,,,
2020-01-16,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-17,,,6.0,64.0,0.0,,,,,,,,,,,
2020-01-18,,,17.0,,24.0,,,,,,,,,,,
2020-01-19,,,6.0,,,,,,,,,,,,,
2020-01-20,,,6.0,,,,,,,,,,,,,
